Name,Latitude,Longitude,Country,Division,District
Nalitabari,25.0850233,90.1939932,Bangladesh,Mymensingh Division,Sherpur District
Sherpur-S,25.0194045,90.0137328,Bangladesh,Mymensingh Division,Sherpur District
Sreebordi,25.147401,89.9393363,Bangladesh,Mymensingh Division,Sherpur District
Kishoreganj,24.4331227,90.7865655,Bangladesh,Mymensingh Division,Kishoreganj District
Adamdighi,24.8002827,89.0418249,Bangladesh,Rajshahi Division,Bogra District
Bogura-S,24.848078,89.3729633,Bangladesh,Rajshahi Division,Bogra District
Dhunot,24.6779694,89.5403279,Bangladesh,Rajshahi Division,Bogra District
Dhupchancia,24.8812002,89.177742,Bangladesh,Rajshahi Division,Bogra District
Gabtali,24.8794971,89.4553088,Bangladesh,Rajshahi Division,Bogra District
Kahaloo,24.8282604,89.2681019,Bangladesh,Rajshahi Division,Bogra District
Nandigram,24.648104,89.24565826,Bangladesh,Rajshahi Division,Bogra District
Sariakandi,24.8887731,89.5709844,Bangladesh,Rajshahi Division,Bogra District
Shajahanpur,24.7661428,89.3837983,Bangladesh,Rajshahi Division,Bogra District
Shibganj,25.0005682,89.3203233,Bangladesh,Rajshahi Division,Bogra District
Sonatala,25.039824,89.4978411,Bangladesh,Rajshahi Division,Bogra District
Bholahat,24.9456529,88.2278608,Bangladesh,Rajshahi Division,Chapainawabganj District
Gomostapur,24.7933883,88.2897742,Bangladesh,Rajshahi Division,Chapainawabganj District
Nachol,24.7326602,88.4137279,Bangladesh,Rajshahi Division,Chapainawabganj District
Shibganj,25.0005682,89.3203233,Bangladesh,Rajshahi Division,Bogra District
Akkelpur,24.9692458,89.020323,Bangladesh,Rajshahi Division,Joypurhat District
Joypurhat-S,25.0967735,89.0227126,Bangladesh,Rajshahi Division,Joypurhat District
Kalai,25.05824184,89.16970216,Bangladesh,Rajshahi Division,Joypurhat District
Khetlal,25.0380091,89.1086477,Bangladesh,Rajshahi Division,Joypurhat District
Panchbibi,25.1871644,89.0191281,Bangladesh,Rajshahi Division,Joypurhat District
Atrai,24.62575239,88.98968968,Bangladesh,Rajshahi Division,Naogaon District
Badalgachi,24.968485,88.9102489,Bangladesh,Rajshahi Division,Naogaon District
Dhamoirhat,25.1503961,88.8515028,Bangladesh,Rajshahi Division,Naogaon District
Manda,24.77549265,88.67006167,Bangladesh,Rajshahi Division,Naogaon District
Mohadevpur,24.9197919,88.751805,Bangladesh,Rajshahi Division,Naogaon District
Naogaon-S,24.7936199,88.9317702,Bangladesh,Rajshahi Division,Naogaon District
Niamatpur,24.8336232,88.5698188,Bangladesh,Rajshahi Division,Naogaon District
Patnitala,25.0498111,88.7625023,Bangladesh,Rajshahi Division,Naogaon District
Porsha,25.05255037,88.14616773,Bangladesh,Rajshahi Division,Naogaon District
Raninagar,24.73835134,88.78585951,Bangladesh,Rajshahi Division,Naogaon District
Shapahar,25.1258991,88.587932,Bangladesh,Rajshahi Division,Naogaon District
Bagatipara,24.3024019,88.9641261,Bangladesh,Rajshahi Division,Natore District
Baraigram,24.3169944,89.1634563,Bangladesh,Rajshahi Division,Natore District
Gurudaspur,24.3683404,89.2331764,Bangladesh,Rajshahi Division,Natore District
Lalpur,24.19965202,88.73770273,Bangladesh,Rajshahi Division,Natore District
Naldanga,24.4969457,88.9605365,Bangladesh,Rajshahi Division,Natore District
Natore-S,24.4084122,88.9750353,Bangladesh,Rajshahi Division,Natore District
Singra,24.4999846,89.1429216,Bangladesh,Rajshahi Division,Natore District
Atghoria,24.1133788,89.2431288,Bangladesh,Rajshahi Division,Pabna District
Bera,24.08067423,89.65307782,Bangladesh,Rajshahi Division,Pabna District
Bhangura,24.2080142,89.365369,Bangladesh,Rajshahi Division,Pabna District
Chatmohar,24.2268541,89.2904833,Bangladesh,Rajshahi Division,Pabna District
Ishwardi,24.1292024,89.0657027,Bangladesh,Rajshahi Division,Pabna District
Pabna-S,24.0076123,89.2383285,Bangladesh,Rajshahi Division,Pabna District
Santhia,24.05615333,89.53530251,Bangladesh,Rajshahi Division,Pabna District
Sujanagar,23.9421529,89.4210136,Bangladesh,Rajshahi Division,Pabna District
Bagha,24.1974854,88.8371034,Bangladesh,Rajshahi Division,Rajshahi District
Bagmara,24.5969612,88.8311022,Bangladesh,Rajshahi Division,Rajshahi District
Charghat,24.2785308,88.751805,Bangladesh,Rajshahi Division,Rajshahi District
Durgapur,24.444952265029027,88.76957765,Bangladesh,Rajshahi Division,Rajshahi District
Godagari,24.4587229,88.3360765,Bangladesh,Rajshahi Division,Rajshahi District
Mohanpur,24.55186431,88.45724411,Bangladesh,Rajshahi Division,Rajshahi District
Paba,24.43624476,88.64378927,Bangladesh,Rajshahi Division,Rajshahi District
Puthia,24.3638464,88.8366628,Bangladesh,Rajshahi Division,Rajshahi District
Tanore,24.5873417,88.5746498,Bangladesh,Rajshahi Division,Rajshahi District
Belkuchi,24.2952157,89.6980719,Bangladesh,Rajshahi Division,Sirajganj District
Chauhali,24.19397695,89.75409479,Bangladesh,Rajshahi Division,Sirajganj District
Kamarkhand,24.360539,89.6651968,Bangladesh,Rajshahi Division,Sirajganj District
Kazipur,24.6544767,89.6345796,Bangladesh,Rajshahi Division,Sirajganj District
Raiganj,24.53266803,89.54493257,Bangladesh,Rajshahi Division,Sirajganj District
Shahjadpur,24.17608026,89.60002416,Bangladesh,Rajshahi Division,Sirajganj District
Sirajganj-S,24.4526459,89.6816208,Bangladesh,Rajshahi Division,Sirajganj District
Tarash,24.4308914,89.3724769,Bangladesh,Rajshahi Division,Sirajganj District
Ullapara,24.3174024,89.562204,Bangladesh,Rajshahi Division,Sirajganj District
Nageswari,25.9642198,89.6957222,Bangladesh,Rajshahi Division,Kurigram District
Hatibandha,26.1422221,89.1348697,Bangladesh,Rajshahi Division,Lalmonirhat District
Birampur,25.3899463,88.9916363,Bangladesh,Rangpur Division,Dinajpur District
Birganj,25.8607706,88.6554861,Bangladesh,Rangpur Division,Dinajpur District
Birol,25.63277317,88.55648721,Bangladesh,Rangpur Division,Dinajpur District
Bochaganj,25.7997217,88.4621891,Bangladesh,Rangpur Division,Dinajpur District
Chirirbandar,25.6503373,88.7770522,Bangladesh,Rangpur Division,Dinajpur District
Dinajpur-S,25.6221009,88.6437649,Bangladesh,Rangpur Division,Dinajpur District
Phulbari,25.49728252,88.95008198,Bangladesh,Rangpur Division,Dinajpur District
Ghoraghat,25.3006863,89.1808503,Bangladesh,Rangpur Division,Dinajpur District
Hakimpur,25.2745502,89.0131532,Bangladesh,Rangpur Division,Dinajpur District
Kaharol,25.7937132,88.6011786,Bangladesh,Rangpur Division,Dinajpur District
Khanshama,25.9250154,88.7313557,Bangladesh,Rangpur Division,Dinajpur District
Parbatipur,25.6543901,88.9162387,Bangladesh,Rangpur Division,Dinajpur District
Fulchari,25.3198082,89.5958514,Bangladesh,Rangpur Division,Gaibandha District
Gaibandha-S,25.3297044,89.5428879,Bangladesh,Rangpur Division,Gaibandha District
Gobindaganj,25.1373337,89.38691,Bangladesh,Rangpur Division,Gaibandha District
Palashbari,25.2793867,89.3535198,Bangladesh,Rangpur Division,Gaibandha District
Sadullapur,25.3909385,89.4659462,Bangladesh,Rangpur Division,Gaibandha District
Saghata,25.1231112,89.582769,Bangladesh,Rangpur Division,Gaibandha District
Sundarganj,25.5643622,89.5190902,Bangladesh,Rangpur Division,Gaibandha District
Bhurungamari,26.1089774,89.6698658,Bangladesh,Rangpur Division,Kurigram District
Chilmari,25.5810414,89.6616352,Bangladesh,Rangpur Division,Kurigram District
Phulbari,25.94945788,89.5520082,Bangladesh,Rangpur Division,Kurigram District
Kurigram-S,25.8281684,89.6816208,Bangladesh,Rangpur Division,Kurigram District
Rajarhat,25.7990489,89.54663928,Bangladesh,Rangpur Division,Kurigram District
Rajibpur,25.44511,89.7930466,Bangladesh,Rangpur Division,Kurigram District
Rowmari,25.5754121,89.8306021,Bangladesh,Rangpur Division,Kurigram District
Ulipur,25.6564202,89.6204562,Bangladesh,Rangpur Division,Kurigram District
Aditmari,25.927289,89.3841989,Bangladesh,Rangpur Division,Lalmonirhat District
Lalmonirhat-S,25.916198,89.4505802,Bangladesh,Rangpur Division,Lalmonirhat District
Patgram,26.3569512,89.0083726,Bangladesh,Rangpur Division,Lalmonirhat District
Dimla,26.1439608,88.9509626,Bangladesh,Rangpur Division,Nilphamari District
Domar,26.1016094,88.8214984,Bangladesh,Rangpur Division,Nilphamari District
Jaldhaka,26.02279266,89.0214794,Bangladesh,Rangpur Division,Nilphamari District
Nilphamari-S,25.9362732,88.8407037,Bangladesh,Rangpur Division,Nilphamari District
Sayedpur,25.7829542,88.8982666,Bangladesh,Rangpur Division,Nilphamari District
Atwari,26.2365175,88.4137279,Bangladesh,Rangpur Division,Panchagarh District
Boda,26.20051698,88.5582417,Bangladesh,Rangpur Division,Panchagarh District
Debiganj,26.1246793,88.7542102,Bangladesh,Rangpur Division,Panchagarh District
Panchagarh-S,26.335376,88.551698,Bangladesh,Rangpur Division,Panchagarh District
Tetulia,26.4820491,88.350376,Bangladesh,Rangpur Division,Panchagarh District
Badarganj,25.6539681,89.0704766,Bangladesh,Rangpur Division,Rangpur District
Gangachara,25.8560233,89.2229471,Bangladesh,Rangpur Division,Rangpur District
Kaunia,25.7741665,89.4316601,Bangladesh,Rangpur Division,Lalmonirhat District
Mithapukur,25.5722678,89.2799763,Bangladesh,Rangpur Division,Rangpur District
Pirgacha,25.657772,89.4055588,Bangladesh,Rangpur Division,Rangpur District
Pirganj,25.4362185,89.3132061,Bangladesh,Rangpur Division,Rangpur District
Rangpur-S,25.7438916,89.275227,Bangladesh,Rangpur Division,Rangpur District
Taraganj,25.8079777,89.0355579,Bangladesh,Rangpur Division,Rangpur District
Baliadangi,26.0902338,88.2753144,Bangladesh,Rangpur Division,Thakurgaon District
Haripur,25.8444056,88.12315409,Bangladesh,Rangpur Division,Thakurgaon District
Pirganj,25.4362185,89.3132061,Bangladesh,Rangpur Division,Rangpur District
Ranisankail,25.8920465,88.2582857,Bangladesh,Rangpur Division,Thakurgaon District
Thakurgaon-S,26.0273645,88.4646107,Bangladesh,Rangpur Division,Thakurgaon District
Azmiriganj,24.5489217,91.2361706,Bangladesh,Sylhet Division,Habiganj District
Bahubal,24.3412478,91.5378109,Bangladesh,Sylhet Division,Habiganj District
Baniachong,24.5063217,91.3565692,Bangladesh,Sylhet Division,Habiganj District
Chunarughat,24.1973581,91.5172315,Bangladesh,Sylhet Division,Habiganj District
Habiganj-S,24.3840055,91.4168974,Bangladesh,Sylhet Division,Habiganj District
Lakhai,24.3106095,91.3023677,Bangladesh,Sylhet Division,Habiganj District
Madhabpur,24.0998223,91.2963269,Bangladesh,Sylhet Division,Habiganj District
Nabiganj,24.567188,91.5136009,Bangladesh,Sylhet Division,Habiganj District
Sayestaganj,24.2766967,91.4555525,Bangladesh,Sylhet Division,Habiganj District
Barlekha,24.707272,92.1917018,Bangladesh,Sylhet Division,Moulvi Bazar District
Juri,24.61481453,91.941977,Bangladesh,Sylhet Division,Moulvi Bazar District
Kamalganj,24.37011939,91.86100501,Bangladesh,Sylhet Division,Moulvi Bazar District
Kulaura,24.5254644,92.0346665,Bangladesh,Sylhet Division,Moulvi Bazar District
Moulvibazar-S,24.4842661,91.768487,Bangladesh,Sylhet Division,Moulvi Bazar District
Rajnagar,24.53162062,86.1606733,Bangladesh,Sylhet Division,Moulvi Bazar District
Sreemangal,24.3065193,91.7295503,Bangladesh,Sylhet Division,Moulvi Bazar District
Biswamvarpur,25.0987573,91.299939,Bangladesh,Sylhet Division,Sunamganj District
Chhatak,25.0417163,91.66643434,Bangladesh,Sylhet Division,Sunamganj District
Dakhin Sunamganj,24.9149748,91.4580948,Bangladesh,Sylhet Division,Sunamganj District
Derai,24.7880558,91.3541756,Bangladesh,Sylhet Division,Sunamganj District
Dharmapasha,24.8993243,91.0119509,Bangladesh,Sylhet Division,Sunamganj District
Doarabazar,25.0482866,91.5588062,Bangladesh,Sylhet Division,Sunamganj District
Jagannathpur,24.7716637,91.5450766,Bangladesh,Sylhet Division,Sunamganj District
Jamalganj,24.9970242,91.2337661,Bangladesh,Sylhet Division,Sunamganj District
Sullah,24.67106106,91.26235483,Bangladesh,Sylhet Division,Sunamganj District
Sunamganj-S,25.0668415,91.4073202,Bangladesh,Sylhet Division,Sunamganj District
Tahirpur,25.0990489,91.1755002,Bangladesh,Sylhet Division,Sunamganj District
Balaganj,24.66137764,91.81765232,Bangladesh,Sylhet Division,Sylhet District
Beanibazar,24.8219613,92.1585314,Bangladesh,Sylhet Division,Sylhet District
Bishwanath,24.81712833,91.75672024,Bangladesh,Sylhet Division,Sylhet District
Companiganj,25.08811333,91.7547687,Bangladesh,Sylhet Division,Sylhet District
Dakshin Surma,24.8149694,91.9051478,Bangladesh,Sylhet Division,Sylhet District
Fenchuganj,24.69583,91.944132,Bangladesh,Sylhet Division,Sylhet District
Golapganj,24.8580629,92.0150758,Bangladesh,Sylhet Division,Sylhet District
Gowainghat,25.0910204,91.9823324,Bangladesh,Sylhet Division,Sylhet District
Jaintiapur,25.13526894,92.12277387,Bangladesh,Sylhet Division,Sylhet District
Kanaighat,25.0088198,92.2556543,Bangladesh,Sylhet Division,Sylhet District
Osmaninagar,24.7190186,91.7465808,Bangladesh,Sylhet Division,Sylhet District
Sylhet-S,24.8950536,91.8688172,Bangladesh,Sylhet Division,Sylhet District
Zakiganj,24.8781208,92.3677887,Bangladesh,Sylhet Division,Sylhet District
