Optimal Objective Value (Upper Bound),6095035691.604062
Execution Time (Seconds),0.004159

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
9,Durgapur,312,Raiganj,3898.735918
9,Durgapur,367,Shibganj,4329.058163
9,Durgapur,404,Natore-S,6091.000000
10,Chirirbandar,11,Porsha,5724.000000
10,Chirirbandar,19,Haripur,5111.000000
10,Chirirbandar,26,Kaharol,6909.000000
10,Chirirbandar,35,Mujib Nagar,4541.000000
10,Chirirbandar,44,Delduar,4061.000000
10,Chirirbandar,56,Badarganj,7948.000000
10,Chirirbandar,70,Adamdighi,2273.895918
10,Chirirbandar,78,Birampur,8695.000000
10,Chirirbandar,115,Parbatipur,6392.000000
10,Chirirbandar,139,Naogaon-S,4191.000000
10,Chirirbandar,161,Shapahar,5764.000000
10,Chirirbandar,190,Dinajpur-S,6645.000000
10,Chirirbandar,201,Phulbari,8865.000000
10,Chirirbandar,215,Gomostapur,1692.513673
10,Chirirbandar,234,Lalpur,4180.000000
10,Chirirbandar,238,Khanshama,7871.000000
10,Chirirbandar,277,Bochaganj,5561.000000
10,Chirirbandar,286,Birganj,5993.000000
10,Chirirbandar,369,Sayedpur,4686.000000
10,Chirirbandar,421,Pirganj,4611.000000
10,Chirirbandar,441,Birol,6921.000000
11,Lakhai,119,Mithamoin,7863.000000
11,Lakhai,169,Chunarughat,7780.000000
11,Lakhai,241,Nasirnagar,8636.000000
11,Lakhai,282,Kulaura,7556.000000
11,Lakhai,395,Austagram,2049.638265
11,Lakhai,415,Nabiganj,7570.000000
11,Lakhai,434,Madhabpur,7239.000000
12,Durgapur,1,Rajibpur,5075.000000
12,Durgapur,22,Haluaghat,7298.000000
12,Durgapur,28,Netrakona-S,6200.000000
12,Durgapur,93,Mymensingh-S,6179.000000
12,Durgapur,94,Ishwarganj,6512.000000
12,Durgapur,131,Tarakanda,6327.000000
12,Durgapur,140,Sylhet-S,6107.000000
12,Durgapur,193,Kendua,5995.000000
12,Durgapur,227,Nalitabari,6500.000000
12,Durgapur,324,Doarabazar,5100.000000
12,Durgapur,330,Dharmapasha,5802.000000
12,Durgapur,348,Dhobaura,5863.000000
12,Durgapur,353,Barhatta,6884.000000
12,Durgapur,371,Sherpur-S,1725.632041
12,Durgapur,393,Chhatak,5437.000000
12,Durgapur,419,Kalmakanda,7257.000000
12,Durgapur,439,Muktagacha,6667.000000
13,Hizla,2,Raipur,8158.000000
13,Hizla,18,Faridganj,6800.000000
13,Hizla,55,Lakshmipur-Sadar,6990.000000
13,Hizla,187,Muladi,7952.000000
13,Hizla,210,Damuddya,7023.000000
13,Hizla,239,Bhola-S,6807.000000
13,Hizla,251,Haimchar,8954.000000
13,Hizla,318,Kalkini,7982.000000
13,Hizla,394,Chandpur-S,1307.721429
14,Araihazar,51,Daudkandi,7738.000000
14,Araihazar,127,Kaliganj,7857.000000
14,Araihazar,148,Sreepur,8630.000000
14,Araihazar,188,Homna,7361.000000
14,Araihazar,225,Titas,7442.000000
14,Araihazar,247,Palash,8934.000000
14,Araihazar,297,Kapasia,8983.000000
14,Araihazar,333,Meghna,2136.804592
14,Araihazar,381,Kaliganj,7386.000000
14,Araihazar,430,Sreepur,8786.000000
16,Gouripur,79,Trishal,7922.000000
16,Gouripur,168,Fulbaria,7852.000000
16,Gouripur,231,Atpara,8095.000000
16,Gouripur,258,Kishoreganj,8236.000000
16,Gouripur,340,Phulpur,8201.000000
16,Gouripur,385,Hossainpur,8299.000000
16,Gouripur,438,Gaffargaon,973.977143
17,Kalaroa,27,Keshabpur,8164.000000
17,Kalaroa,112,Dumuria,6657.000000
17,Kalaroa,159,Chowgacha,1834.185000
17,Kalaroa,166,Paikgacha,8417.000000
17,Kalaroa,178,Koyra,8406.000000
17,Kalaroa,243,Tala,8285.000000
17,Kalaroa,266,Kotchandpur,4772.000000
17,Kalaroa,285,Satkhira-S,6705.000000
17,Kalaroa,289,Mongla,8189.000000
17,Kalaroa,327,Assasuni,6193.000000
17,Kalaroa,425,Bagherpara,2319.586327
19,Jaldhaka,23,Shakhipur,4036.000000
19,Jaldhaka,36,Phulbari,4488.000000
19,Jaldhaka,50,Nilphamari-S,5873.000000
19,Jaldhaka,73,Dimla,7952.000000
19,Jaldhaka,118,Debiganj,5044.000000
19,Jaldhaka,144,Kaunia,4375.000000
19,Jaldhaka,146,Patgram,5174.000000
19,Jaldhaka,153,Rajarhat,4924.000000
19,Jaldhaka,174,Taraganj,7885.000000
19,Jaldhaka,179,Sundarganj,976.197449
19,Jaldhaka,215,Gomostapur,2366.486327
19,Jaldhaka,237,Panchagarh-S,1619.700612
19,Jaldhaka,293,Hatibandha,8027.000000
19,Jaldhaka,305,Domar,8131.000000
19,Jaldhaka,392,Gangachara,4738.000000
19,Jaldhaka,428,Rangpur-S,8501.000000
20,Barkal,20,Juraichari,5206.000000
20,Barkal,49,Bandarban-S,4173.000000
20,Barkal,143,Langadu,8765.000000
20,Barkal,151,Cox'S Bazar-S,6091.000000
20,Barkal,163,Baghaichari,7853.000000
20,Barkal,195,Karnaphuli,5514.000000
20,Barkal,211,Ruma,5640.000000
20,Barkal,212,Rajosthali,6286.000000
20,Barkal,213,Kaptai,6719.000000
20,Barkal,230,Belaichari,7588.000000
20,Barkal,242,Naikhyongchari,6019.000000
20,Barkal,254,Rangunia,5058.000000
20,Barkal,257,Mirzaganj,2108.149286
20,Barkal,278,Chakoria,5792.000000
20,Barkal,287,Rowangchari,5069.000000
20,Barkal,299,Lohagara,2188.245306
20,Barkal,301,Lohagara,4667.000000
20,Barkal,309,Nanniarchar,6682.000000
20,Barkal,326,Ukhiya,5694.000000
20,Barkal,380,Itna,4142.000000
21,Kalia,39,Phultala,5032.871122
21,Kalia,77,Narail-S,7919.000000
21,Kalia,100,Rampal,7207.000000
21,Kalia,110,Alfadanga,6677.000000
21,Kalia,138,Rajoir,5801.000000
21,Kalia,167,Gopalganj-S,5164.000000
21,Kalia,170,Kasiani,5282.000000
21,Kalia,200,Fakirhat,5373.000000
21,Kalia,214,Batiaghata,7799.000000
21,Kalia,232,Rupsha,7686.000000
21,Kalia,240,Dighalia,8656.000000
21,Kalia,346,Terokhada,5278.000000
21,Kalia,396,Tungipara,8003.000000
22,Sariakandi,5,Sreebordi,6052.000000
22,Sariakandi,80,Kahaloo,6024.000000
22,Sariakandi,111,Sarishabari,8547.000000
22,Sariakandi,296,Bogura-S,392.349286
22,Sariakandi,313,Shajahanpur,8538.000000
22,Sariakandi,374,Sherpur,6361.000000
22,Sariakandi,386,Bakshiganj,7324.000000
22,Sariakandi,401,Madarganj,5737.000000
22,Sariakandi,410,Dhunot,6801.000000
23,Baraigram,46,Nandigram,7211.000000
23,Baraigram,60,Singra,7383.000000
23,Baraigram,86,Gurudaspur,8560.000000
23,Baraigram,124,Bhangura,8746.000000
23,Baraigram,283,Bagatipara,6281.000000
23,Baraigram,315,Chatmohar,7296.000000
23,Baraigram,329,Tarash,7352.000000
23,Baraigram,366,Atghoria,2926.399184
23,Baraigram,436,Ishwardi,7989.000000
24,Manda,16,Dhamoirhat,7838.000000
24,Manda,37,Badalgachi,7189.000000
24,Manda,120,Bholahat,583.671531
24,Manda,268,Patnitala,6017.000000
24,Manda,338,Nachol,8253.000000
24,Manda,375,Rajnagar,7452.000000
24,Manda,378,Akkelpur,8140.000000
24,Manda,414,Mohadevpur,8533.000000
26,Kumarkhali,10,Pangsha,5225.000000
26,Kumarkhali,30,Kalukhali,4130.948061
26,Kumarkhali,43,Alamdanga,8118.000000
26,Kumarkhali,59,Pabna-S,8795.000000
26,Kumarkhali,92,Kushtia-S,8460.000000
26,Kumarkhali,160,Daulatpur,8755.000000
26,Kumarkhali,162,Chuadanga-S,8083.000000
26,Kumarkhali,222,Khoksha,6868.000000
26,Kumarkhali,246,Damurhuda,6620.000000
26,Kumarkhali,298,Mirpur,8265.000000
26,Kumarkhali,366,Atghoria,2449.600816
26,Kumarkhali,382,Meherpur-S,6621.000000
26,Kumarkhali,437,Bheramara,5258.000000
27,Bhairab,0,Sullah,5085.000000
27,Bhairab,8,Kuliarchar,6360.000000
27,Bhairab,24,Bijoynagar,5484.000000
27,Bhairab,41,Nikli,8818.000000
27,Bhairab,66,Beanibazar,5570.000000
27,Bhairab,84,Katiadi,7962.000000
27,Bhairab,95,Azmiriganj,5915.000000
27,Bhairab,183,Zakiganj,5615.000000
27,Bhairab,185,Golapganj,5964.000000
27,Bhairab,219,Sayestaganj,5544.000000
27,Bhairab,220,Ashuganj,7675.000000
27,Bhairab,292,Osmaninagar,4639.128980
27,Bhairab,311,Pakundia,5032.000000
27,Bhairab,317,Balaganj,1900.912653
27,Bhairab,345,Habiganj-S,5907.000000
27,Bhairab,359,Bajitpur,5342.000000
27,Bhairab,390,Belabo,8938.000000
27,Bhairab,395,Austagram,4962.361735
27,Bhairab,406,Akhaura,7828.000000
27,Bhairab,438,Gaffargaon,6750.022857
28,Chandanish,21,Lama,8927.000000
28,Chandanish,117,Alikadam,6957.000000
28,Chandanish,126,Teknaf,7352.000000
28,Chandanish,191,Ramu,8363.000000
28,Chandanish,263,Satkania,7631.000000
28,Chandanish,276,Pekua,8620.000000
28,Chandanish,299,Lohagara,4684.754694
28,Chandanish,343,Eidgaon,7445.000000
28,Chandanish,440,Kutubdia,7306.000000
29,Sirajganj-S,15,Belkuchi,5056.000000
29,Sirajganj-S,57,Kamarkhand,6360.000000
29,Sirajganj-S,98,Madhupur,5546.000000
29,Sirajganj-S,104,Nakla,5009.000000
29,Sirajganj-S,128,Bhaluka,7078.000000
29,Sirajganj-S,145,Bhuapur,8391.000000
29,Sirajganj-S,150,Dhanbari,5038.000000
