iter,lagrangian,primal,LB,UB,gap,step
0,148717676.450147,845852902.743387,148717676.450147,845852902.743387,0.824180,0.029934
1,258522184.971395,828149066.682467,258522184.971395,828149066.682467,0.687831,0.019271
2,381429745.854920,807253645.500981,381429745.854920,807253645.500981,0.527497,0.014591
3,524785629.746066,756410287.066297,524785629.746066,756410287.066297,0.306216,0.013238
4,517517576.056624,817069847.336781,524785629.746066,756410287.066297,0.306216,0.005528
5,617309773.091681,752071458.687357,617309773.091681,752071458.687357,0.179187,0.012620
6,553415888.975514,828149066.682467,617309773.091681,752071458.687357,0.179187,0.004499
7,626796302.767039,747404885.602265,626796302.767039,747404885.602265,0.161370,0.010703
8,566540027.653258,781914210.077763,626796302.767039,747404885.602265,0.161370,0.003950
9,612199467.070294,787154390.555867,626796302.767039,747404885.602265,0.161370,0.010888
10,582687253.358664,828149066.682467,626796302.767039,747404885.602265,0.161370,0.004450
11,627821459.332573,718531971.038425,627821459.332573,718531971.038425,0.126244,0.009105
12,596336001.409754,756906579.304461,627821459.332573,718531971.038425,0.126244,0.006183
13,628832804.150190,904782110.126565,628832804.150190,718531971.038425,0.124837,0.012336
14,589845520.458366,807253645.500981,628832804.150190,718531971.038425,0.124837,0.005042
15,624811140.633121,828149066.682467,628832804.150190,718531971.038425,0.124837,0.007153
16,617989909.849463,807423039.068729,628832804.150190,718531971.038425,0.124837,0.008234
17,606445178.385873,747863221.498783,628832804.150190,718531971.038425,0.124837,0.008058
18,620578077.072784,783654147.483776,628832804.150190,718531971.038425,0.124837,0.005990
Stopping early: No change in bounds for 5 consecutive iterations.
