Optimal Objective Value (Upper Bound),5782607949.337923
Execution Time (Seconds),9.042133

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
8,Kurigram-S,179,Sundarganj,5126.000000
8,Kurigram-S,205,Bhurungamari,6584.000000
8,Kurigram-S,227,Nalitabari,5917.455816
8,Kurigram-S,253,Nageswari,8900.000000
8,Kurigram-S,290,Ulipur,5258.000000
8,Kurigram-S,364,Pirgacha,4036.960000
8,Kurigram-S,389,Rowmari,5371.000000
10,Chirirbandar,11,Porsha,5724.000000
10,Chirirbandar,16,Dhamoirhat,7838.000000
10,Chirirbandar,26,Kaharol,6909.000000
10,Chirirbandar,56,Badarganj,7948.000000
10,Chirirbandar,78,Birampur,8695.000000
10,Chirirbandar,99,Panchbibi,8133.000000
10,Chirirbandar,115,Parbatipur,6392.000000
10,Chirirbandar,161,Shapahar,5764.000000
10,Chirirbandar,182,Hakimpur,6948.000000
10,Chirirbandar,190,Dinajpur-S,6645.000000
10,Chirirbandar,201,Phulbari,8865.000000
10,Chirirbandar,218,Mithapukur,6060.000000
10,Chirirbandar,238,Khanshama,5113.175102
10,Chirirbandar,277,Bochaganj,5561.000000
10,Chirirbandar,286,Birganj,5993.000000
10,Chirirbandar,369,Sayedpur,4686.000000
10,Chirirbandar,421,Pirganj,4440.234490
10,Chirirbandar,441,Birol,6921.000000
11,Lakhai,119,Mithamoin,2510.638265
11,Lakhai,169,Chunarughat,7780.000000
11,Lakhai,219,Sayestaganj,5544.000000
11,Lakhai,241,Nasirnagar,8636.000000
11,Lakhai,256,Bahubal,4634.000000
11,Lakhai,345,Habiganj-S,5907.000000
11,Lakhai,395,Austagram,7012.000000
11,Lakhai,407,Baniachong,6670.000000
14,Araihazar,127,Kaliganj,7857.000000
14,Araihazar,136,Narshingdi-S,5333.000000
14,Araihazar,148,Sreepur,8630.000000
14,Araihazar,157,Kaliganj,5306.000000
14,Araihazar,188,Homna,5619.804592
14,Araihazar,275,Rupganj,4866.000000
14,Araihazar,297,Kapasia,8983.000000
14,Araihazar,381,Kaliganj,7386.000000
14,Araihazar,408,Kaliganj,5803.000000
14,Araihazar,430,Sreepur,8786.000000
14,Araihazar,431,Bancharampur,6684.000000
15,Raninagar,14,Paba,5041.000000
15,Raninagar,37,Badalgachi,7189.000000
15,Raninagar,46,Nandigram,7211.000000
15,Raninagar,70,Adamdighi,4542.000000
15,Raninagar,71,Naldanga,6112.000000
15,Raninagar,102,Atrai,6816.000000
15,Raninagar,121,Puthia,7689.000000
15,Raninagar,122,Bagmara,8699.000000
15,Raninagar,139,Naogaon-S,4191.000000
15,Raninagar,283,Bagatipara,5554.057857
15,Raninagar,378,Akkelpur,5248.728061
15,Raninagar,414,Mohadevpur,6961.018673
16,Gouripur,79,Trishal,7922.000000
16,Gouripur,93,Mymensingh-S,6179.000000
16,Gouripur,94,Ishwarganj,1668.977143
16,Gouripur,128,Bhaluka,7078.000000
16,Gouripur,131,Tarakanda,6327.000000
16,Gouripur,168,Fulbaria,7852.000000
16,Gouripur,433,Purbadhala,4828.000000
16,Gouripur,438,Gaffargaon,7724.000000
17,Kalaroa,27,Keshabpur,8164.000000
17,Kalaroa,112,Dumuria,2788.715204
17,Kalaroa,166,Paikgacha,8417.000000
17,Kalaroa,178,Koyra,8406.000000
17,Kalaroa,243,Tala,8285.000000
17,Kalaroa,285,Satkhira-S,6705.000000
17,Kalaroa,289,Mongla,8189.000000
17,Kalaroa,295,Sharsha,8171.056122
17,Kalaroa,327,Assasuni,6193.000000
17,Kalaroa,397,Debhata,4623.000000
18,Singair,32,Nawabganj-S,4477.000000
18,Singair,44,Delduar,4061.000000
18,Singair,45,Harirampur,6464.000000
18,Singair,74,Kaliakoir,4251.000000
18,Singair,83,Dhamrai,4410.000000
18,Singair,89,Nawabganj,5503.000000
18,Singair,96,Saturia,7687.000000
18,Singair,152,Nagarpur,5124.000000
18,Singair,175,Savar,6617.000000
18,Singair,176,Manikganj-S,4672.000000
18,Singair,207,Mirzapur,3477.563980
18,Singair,322,Nawabganj,5761.000000
18,Singair,354,Basail,2427.885102
18,Singair,357,Ghior,6780.000000
19,Jaldhaka,50,Nilphamari-S,5873.000000
19,Jaldhaka,68,Boda,6730.700612
19,Jaldhaka,73,Dimla,7952.000000
19,Jaldhaka,114,Lalmonirhat-S,8452.000000
19,Jaldhaka,118,Debiganj,5044.000000
19,Jaldhaka,146,Patgram,5174.000000
19,Jaldhaka,174,Taraganj,7885.000000
19,Jaldhaka,238,Khanshama,2757.824898
19,Jaldhaka,293,Hatibandha,8027.000000
19,Jaldhaka,305,Domar,8131.000000
19,Jaldhaka,334,Aditmari,8937.000000
19,Jaldhaka,364,Pirgacha,2102.040000
19,Jaldhaka,392,Gangachara,4738.000000
19,Jaldhaka,428,Rangpur-S,8501.000000
21,Kalia,39,Phultala,5033.000000
21,Kalia,77,Narail-S,7919.000000
21,Kalia,110,Alfadanga,6677.000000
21,Kalia,112,Dumuria,3868.284796
21,Kalia,125,Magura-S,8021.000000
21,Kalia,167,Gopalganj-S,5164.000000
21,Kalia,170,Kasiani,5282.000000
21,Kalia,173,Mollahat,4221.000000
21,Kalia,200,Fakirhat,5373.000000
21,Kalia,214,Batiaghata,7799.000000
21,Kalia,232,Rupsha,7686.000000
21,Kalia,240,Dighalia,8656.000000
21,Kalia,260,Dacope,4090.000000
21,Kalia,314,Rajbari-S,810.586327
21,Kalia,346,Terokhada,5278.000000
22,Sariakandi,5,Sreebordi,6052.000000
22,Sariakandi,80,Kahaloo,6024.000000
22,Sariakandi,111,Sarishabari,1852.805102
22,Sariakandi,227,Nalitabari,582.544184
22,Sariakandi,252,Gabtali,4951.000000
22,Sariakandi,296,Bogura-S,5592.000000
22,Sariakandi,313,Shajahanpur,8538.000000
22,Sariakandi,319,Jamalpur-S,5041.000000
22,Sariakandi,371,Sherpur-S,5045.000000
22,Sariakandi,374,Sherpur,6361.000000
22,Sariakandi,401,Madarganj,5737.000000
23,Baraigram,60,Singra,7383.000000
23,Baraigram,86,Gurudaspur,8560.000000
23,Baraigram,124,Bhangura,8746.000000
23,Baraigram,222,Khoksha,4224.457041
23,Baraigram,283,Bagatipara,726.942143
23,Baraigram,315,Chatmohar,7296.000000
23,Baraigram,329,Tarash,7352.000000
23,Baraigram,366,Atghoria,5376.000000
23,Baraigram,404,Natore-S,6091.000000
23,Baraigram,436,Ishwardi,7989.000000
24,Manda,25,Charghat,2080.690204
24,Manda,120,Bholahat,5871.000000
24,Manda,135,Godagari,8340.000000
24,Manda,196,Niamatpur,5511.000000
24,Manda,209,Tanore,4850.000000
24,Manda,215,Gomostapur,4059.000000
24,Manda,268,Patnitala,6017.000000
24,Manda,338,Nachol,8253.000000
24,Manda,375,Rajnagar,7452.000000
24,Manda,414,Mohadevpur,1571.981327
27,Bhairab,8,Kuliarchar,6360.000000
27,Bhairab,24,Bijoynagar,5484.000000
27,Bhairab,38,Raipura,5252.000000
27,Bhairab,41,Nikli,8818.000000
27,Bhairab,52,Sarail,4322.000000
27,Bhairab,84,Katiadi,7962.000000
27,Bhairab,172,Shibpur,7004.000000
27,Bhairab,203,Nabinagar,6563.000000
27,Bhairab,207,Mirzapur,2748.436020
27,Bhairab,220,Ashuganj,7675.000000
27,Bhairab,247,Palash,8934.000000
27,Bhairab,249,Kishoreganj-S,5564.990204
27,Bhairab,311,Pakundia,5032.000000
27,Bhairab,359,Bajitpur,5342.000000
27,Bhairab,379,Monohardi,5626.000000
27,Bhairab,385,Hossainpur,8299.000000
27,Bhairab,390,Belabo,8938.000000
27,Bhairab,434,Madhabpur,7239.000000
27,Bhairab,443,B.Baria-S,4128.000000
28,Chandanish,49,Bandarban-S,4173.000000
28,Chandanish,212,Rajosthali,6286.000000
28,Chandanish,213,Kaptai,6719.000000
28,Chandanish,230,Belaichari,7588.000000
28,Chandanish,254,Rangunia,3271.659082
28,Chandanish,263,Satkania,7631.000000
28,Chandanish,299,Lohagara,6873.000000
28,Chandanish,301,Lohagara,4667.000000
28,Chandanish,308,Banskhali,5691.000000
28,Chandanish,321,Boalkhali,5348.000000
28,Chandanish,405,Anwara,5236.000000
28,Chandanish,440,Kutubdia,3802.095612
29,Sirajganj-S,15,Belkuchi,5056.000000
29,Sirajganj-S,23,Shakhipur,4036.000000
29,Sirajganj-S,57,Kamarkhand,6360.000000
29,Sirajganj-S,98,Madhupur,5546.000000
29,Sirajganj-S,111,Sarishabari,6694.194898
29,Sirajganj-S,145,Bhuapur,8391.000000
29,Sirajganj-S,150,Dhanbari,5038.000000
29,Sirajganj-S,197,Chauhali,7859.000000
29,Sirajganj-S,216,Kalihati,4594.000000
29,Sirajganj-S,280,Ullapara,6576.000000
29,Sirajganj-S,291,Ghatail,8172.000000
29,Sirajganj-S,302,Tangail-S,5134.000000
29,Sirajganj-S,312,Raiganj,4597.000000
29,Sirajganj-S,323,Gopalpur,8109.000000
29,Sirajganj-S,354,Basail,2642.114898
29,Sirajganj-S,410,Dhunot,6801.000000
29,Sirajganj-S,413,Kazipur,7094.000000
30,Thanchi,21,Lama,8927.000000
30,Thanchi,72,Moheskhali,5717.000000
30,Thanchi,117,Alikadam,6957.000000
30,Thanchi,126,Teknaf,7352.000000
30,Thanchi,151,Cox'S Bazar-S,6091.000000
30,Thanchi,191,Ramu,8363.000000
30,Thanchi,211,Ruma,5640.000000
30,Thanchi,242,Naikhyongchari,6019.000000
30,Thanchi,276,Pekua,8620.000000
30,Thanchi,278,Chakoria,5792.000000
30,Thanchi,287,Rowangchari,5069.000000
30,Thanchi,326,Ukhiya,5694.000000
30,Thanchi,343,Eidgaon,7445.000000
30,Thanchi,440,Kutubdia,3503.904388
32,Burichong,33,Laksham,4076.000000
32,Burichong,48,Porshuram,4971.000000
32,Burichong,82,Debidwar,8745.000000
32,Burichong,105,Brahmanpara,5155.000000
32,Burichong,137,Kasba,7847.000000
32,Burichong,141,Nangalkot,5293.000000
32,Burichong,149,Kachua,7293.000000
32,Burichong,180,Barura,5995.000000
32,Burichong,307,Shahrasti,7783.000000
32,Burichong,325,Chandina,8419.000000
32,Burichong,336,Kachua,5743.000000
32,Burichong,352,Cumilla-S Daksin,5652.000000
32,Burichong,363,Monohorganj,6423.000000
32,Burichong,373,Haziganj,2208.748469
32,Burichong,403,Cumilla-S,6997.000000
32,Burichong,406,Akhaura,7828.000000
32,Burichong,417,Muradnagar,6071.000000
32,Burichong,418,Chouddagram,8937.000000
32,Burichong,429,Lalmai,4084.000000
33,Galachipa,17,Rangabali,8789.000000
33,Galachipa,97,Charfassion,8890.000000
33,Galachipa,186,Monpura,8889.000000
33,Galachipa,198,Taltali,8954.000000
33,Galachipa,206,Hatiya,8664.000000
33,Galachipa,320,Barguna-S,6057.000000
33,Galachipa,337,Lalmohan,2117.176735
33,Galachipa,349,Patharghata,8979.000000
33,Galachipa,365,Amtali,6228.000000
33,Galachipa,387,Dashmina,5576.000000
33,Galachipa,411,Kalapara,8308.000000
34,Dumki,53,Kathalia,8066.000000
34,Dumki,58,Sharankhola,4901.000000
34,Dumki,76,Borhanuddin,7209.000000
34,Dumki,88,Nalchity,4397.000000
