iter,lagrangian,primal,LB,UB,gap,step
0,148717676.450147,691440187.688254,148717676.450147,691440187.688254,0.784916,0.023304
1,280575466.725934,691440187.688254,280575466.725934,691440187.688254,0.594216,0.018157
2,435768392.463163,691440187.688254,435768392.463163,691440187.688254,0.369767,0.008469
3,563439821.594056,691440187.688254,563439821.594056,691440187.688254,0.185121,0.010715
4,544839038.332870,692304886.054571,563439821.594056,691440187.688254,0.185121,0.003987
5,626876568.765538,691440187.688254,626876568.765538,691440187.688254,0.093376,0.012158
6,565624923.587649,749162810.069581,626876568.765538,691440187.688254,0.093376,0.002294
7,624147727.259181,719809525.073430,626876568.765538,691440187.688254,0.093376,0.002707
8,640900981.540851,702472448.004712,640900981.540851,691440187.688254,0.073093,0.011277
9,579204389.102732,723420064.332058,640900981.540851,691440187.688254,0.073093,0.001750
10,617415870.461365,742069698.506534,640900981.540851,691440187.688254,0.073093,0.003707
11,645767446.766252,703931387.235012,645767446.766252,691440187.688254,0.066055,0.008625
12,600398491.560678,742069698.506534,645767446.766252,691440187.688254,0.066055,0.003637
13,641191278.434335,797070690.357461,645767446.766252,691440187.688254,0.066055,0.005775
14,619771362.746538,702280777.513461,645767446.766252,691440187.688254,0.066055,0.005119
15,642698304.415873,771282740.011981,645767446.766252,691440187.688254,0.066055,0.010689
16,603776141.025059,722340745.563799,645767446.766252,691440187.688254,0.066055,0.001688
Stopping early: No change in bounds for 5 consecutive iterations.
