iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
79    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
80    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
81    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
82    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
83    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
84    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
85    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
86    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
87    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
88    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
89    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
90    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
91    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
92    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
93    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
94    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
95    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
96    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
97    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
98    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
99    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
100   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
101   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
102   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
103   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
104   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
105   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
106   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
107   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
108   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
109   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
110   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
111   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
112   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
113   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
114   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
115   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
116   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
117   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
118   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
119   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
120   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
121   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
122   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
123   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
124   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
125   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
126   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
127   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
128   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
129   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
130   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
131   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
132   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
133   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
134   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
135   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
136   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
137   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
138   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
139   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
140   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
141   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
142   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
143   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
144   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
145   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
146   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
147   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
148   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
149   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
150   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
151   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
152   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
153   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
154   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
155   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
156   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
157   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
158   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
159   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
160   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
161   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
162   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
163   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
164   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
165   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
166   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
167   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
168   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
169   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
170   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
171   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
172   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
173   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
174   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
175   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
176   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
177   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
178   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
179   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
180   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
181   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
182   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
183   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
184   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
185   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
186   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
187   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
188   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
189   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
190   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
191   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
192   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
193   1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
194   1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
195   1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
196   0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
197   0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
198   1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
199   1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
