iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
85    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
86    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
87    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
88    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
89    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
90    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
91    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
92    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
93    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
94    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
95    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
96    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
97    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
98    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
99    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
100   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
101   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
102   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
103   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
104   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
105   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
106   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
107   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
108   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
109   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
110   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
