Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Patuakhali-S,Ok,"Patuakhali Sadar Upazila, Bangladesh",22.3587792,90.3452381,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Patuakhali District,Patuakhali District
Rangabali,"2 found, use single geocode.","Rangabali, Bangladesh",21.9397378,90.4408037,"locality, political",APPROXIMATE,,,,Rangabali,Bangladesh,Barisal Division,Patuakhali District,Patuakhali District
Bhandaria,"2 found, use single geocode.","Bhandaria, Bangladesh",22.4832118,90.0591175,"locality, political",APPROXIMATE,,,,Bhandaria,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Kawkhali,"3 found, use single geocode.","Kaukhali, Kawkhali, Bangladesh",22.6258092,90.0700051,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Kawkhali,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Mothbaria,"2 found, use single geocode.","Mathbaria, Bangladesh",22.2920455,89.9580123,"locality, political",APPROXIMATE,,,,Mathbaria,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Nazirpur,"2 found, use single geocode.","Nazirpur, Bangladesh",22.7867163,89.9813445,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Nesarabad,Ok,"Swarupkathi, Bangladesh",22.7449644,90.1167463,"locality, political",APPROXIMATE,,,,Swarupkathi,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Pirojpur-S,Ok,"Pirojpur Sadar Upazila, Bangladesh",22.5841393,89.9720764,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Zianagar,"2 found, use single geocode.","Zianagar, Bangladesh",22.4857641,89.9603461,"locality, political",APPROXIMATE,,,,Zianagar,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Akhaura,Ok,"Akhaura, Bangladesh",23.8686193,91.2097291,"locality, political",APPROXIMATE,,,,Akhaura,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Ashuganj,"2 found, use single geocode.","Ashuganj, Bangladesh",24.0277383,90.9964085,"locality, political",APPROXIMATE,,,,Ashuganj,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
B.Baria-S,Ok,"Brahmanbaria District, Bangladesh",23.9608181,91.1115014,"administrative_area_level_2, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Bancharampur,"2 found, use single geocode.","Bancharampur, Bangladesh",23.7753335,90.803813,"locality, political",APPROXIMATE,,,,Bancharampur,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Bijoynagar,"2 found, use single geocode.","Bijoynagar, Bangladesh",24.0141859,91.2265536,"locality, political",APPROXIMATE,,,,Bijoynagar,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Kasba,"4 found, use single geocode.","Kasba,Bangladesh",23.74848704,91.12556892,"locality, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Nabinagar,"2 found, use single geocode.","Nabinagar,Bangladesh",23.88868174,90.96052468,"locality, political",APPROXIMATE,,,824301,Nabinagar,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Nasirnagar,"2 found, use single geocode.","Nasirnagar, Bangladesh",24.19575,91.1953135,"locality, political",APPROXIMATE,,,,Nasirnagar,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Sarail,Ok,"Sarail, Bangladesh",24.0745179,91.1113216,"locality, political",APPROXIMATE,,,,Sarail,Bangladesh,Chittagong Division,Brahmanbaria District,Brahmanbaria District
Alikadam,Ok,"Alikadam, Bangladesh",21.6530087,92.3147677,"locality, political",APPROXIMATE,,,,Alikadam,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Bandarban-S,"2 found, use single geocode.","Bandarban, Bangladesh",22.1935628,92.2187476,"locality, political",APPROXIMATE,,,,Bandarban,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Lama,Ok,"Lama,Bangladesh",21.77442345,92.19687089,"locality, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Naikhyongchari,"Ok, partial match","Naikhongchari, Bangladesh",21.4269481,92.1757278,"locality, political",APPROXIMATE,,,,Naikhongchari,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Rowangchari,Ok,"Rowangchhari Upazila, Bangladesh",22.1832381,92.3366846,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Ruma,Ok,"Ruma, Bangladesh",22.05113211,92.41030187,"locality, political",APPROXIMATE,,,,Ruma,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Thanchi,Ok,"Thanchi, Bangladesh",21.8210961,92.435696,"locality, political",APPROXIMATE,,,,Thanchi,Bangladesh,Chittagong Division,Bandarban District,Bandarban District
Chandpur-S,Ok,"Chandpur, Bangladesh",23.2320991,90.663075,"locality, political",APPROXIMATE,,,,Chandpur,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Faridganj,Ok,"Faridganj, Bangladesh",23.1274882,90.7509045,"locality, political",APPROXIMATE,,,,Faridganj,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Haimchar,Ok,"Haimchar Upazila, Bangladesh",23.0595392,90.5919691,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Haziganj,Ok,"Haziganj, Bangladesh",23.2520414,90.8508345,"locality, political",APPROXIMATE,,,,Haziganj,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Kachua,Ok,"Kachua, Bangladesh",23.341144,90.8889678,"locality, political",APPROXIMATE,,,,Kachua,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Matlab (Dakshin),Ok,"Matlab Dakshin Upazila, Bangladesh",23.3449028,90.7091067,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Matlab (Uttar),Ok,"Matlab Uttar Upazila, Bangladesh",23.3837473,90.6181279,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Shahrasti,Ok,"Shahrasti, Bangladesh",23.2306433,90.9486223,"locality, political",APPROXIMATE,,,,Shahrasti,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Anwara,Ok,"Anwara, Bangladesh",22.2337164,91.8659809,"locality, political",APPROXIMATE,,,,Anwara,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Banskhali,Ok,"Banshkhali Upazila, Bangladesh",22.0254192,91.9463185,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Boalkhali,Ok,"Boalkhali, Bangladesh",22.3791057,91.9172519,"locality, political",APPROXIMATE,,,,Boalkhali,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Chandanish,"2 found, use single geocode.","Chandanaish, Bangladesh",22.2438942,92.0126276,"locality, political",APPROXIMATE,,,,Chandanaish,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
