Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Rajosthali,Ok,"Rajasthali Upazila, Bangladesh",22.3762383,92.1522805,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Rangamati-S,"2 found, use single geocode.","Rangamati, Bangladesh",22.6533198,92.1788581,"locality, political",APPROXIMATE,,,,Rangamati,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Dhamrai,"2 found, use single geocode.","Dhamrai, Bangladesh",23.9148319,90.2174318,"locality, political",APPROXIMATE,,,,Dhamrai,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Dohar,Ok,"Dohar, Bangladesh",23.6181867,90.1196695,"locality, political",APPROXIMATE,,,,Dohar,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Keraniganj,"2 found, use single geocode.","Keraniganj, Bangladesh",23.7012425,90.3975717,"locality, political",APPROXIMATE,,,,Keraniganj,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Nawabganj,"3 found, use single geocode.","Nawabganj, Bangladesh",23.653123,90.1518394,"locality, political",APPROXIMATE,,,,Nawabganj,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Savar,"3 found, use single geocode.","Savar Union, Bangladesh",23.8478798,90.2575646,"locality, political",APPROXIMATE,,,,Savar Union,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Alfadanga,"2 found, use single geocode.","Alfadanga, Bangladesh",23.2897824,89.702771,"locality, political",APPROXIMATE,,,,Alfadanga,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Bhanga,"2 found, use single geocode.","Bhanga, Bangladesh",23.3853306,89.9836769,"locality, political",APPROXIMATE,,,,Bhanga,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Boalmari,"2 found, use single geocode.","Boalmari, Bangladesh",23.3909677,89.6839714,"locality, political",APPROXIMATE,,,,Boalmari,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Charbhadrasan,"2 found, use single geocode.","Charbhadrasan, Bangladesh",23.566898,89.995337,"locality, political",APPROXIMATE,,,,Charbhadrasan,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Faridpur-S,"2 found, use single geocode.","Faridpur, Bangladesh",23.6018691,89.8333382,"locality, political",APPROXIMATE,,,,Faridpur,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Madhukhali,"2 found, use single geocode.","Madhukhali, Bangladesh",23.5441366,89.6286955,"locality, political",APPROXIMATE,,,,Madhukhali,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Nagarkanda,"2 found, use single geocode.","Nagarkanda, Bangladesh",23.4210186,89.8949443,"locality, political",APPROXIMATE,,,,Nagarkanda,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Sadarpur,"3 found, use single geocode.","Sadarpur Upazila,Bangladesh",23.46642677,90.03646825,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Saltha,Ok,"Saltha, Bangladesh",23.4328101,89.7825682,"locality, political",APPROXIMATE,,,,Saltha,Bangladesh,Dhaka Division,Faridpur District,Faridpur District
Gazipur-S,Ok,"Gazipur Sadar Upazila, Bangladesh",23.9999322,90.4202176,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Kaliakoir,Ok,"Kaliakair, Bangladesh",24.0694528,90.2221213,"locality, political",APPROXIMATE,,,,Kaliakair,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Kaliganj,"2 found, use single geocode.","Kaliganj, Bangladesh",23.9644781,90.5730713,"locality, political",APPROXIMATE,,,,Kaliganj,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Kapasia,"2 found, use single geocode.","Kapasia, Bangladesh",24.1124202,90.5665658,"locality, political",APPROXIMATE,,,,Kapasia,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Sreepur,Ok,"Sreepur, Bangladesh",24.1996574,90.4809098,"locality, political",APPROXIMATE,,,,Sreepur,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Gopalganj-S,Ok,"Gopalganj Sadar Upazila, Bangladesh",23.013196,89.8225228,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Gopalganj District,Gopalganj District
Kasiani,Ok,"Kashiani Upazila, Bangladesh",23.2331635,89.7239244,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Gopalganj District,Gopalganj District
Kotwalipara,"2 found, use single geocode.","Kotalipara, Bangladesh",22.9892822,90.0279867,"locality, political",APPROXIMATE,,,,Kotalipara,Bangladesh,Dhaka Division,Gopalganj District,Gopalganj District
Muksudpur,"2 found, use single geocode.","Muksudpur, Bangladesh",23.3197792,89.8668809,"locality, political",APPROXIMATE,,,,Muksudpur,Bangladesh,Dhaka Division,Gopalganj District,Gopalganj District
Tungipara,Ok,"Tungipara, Bangladesh",22.9073374,89.8984508,"locality, political",APPROXIMATE,,,,Tungipara,Bangladesh,Dhaka Division,Gopalganj District,Gopalganj District
Austagram,Ok,"Astagram, Bangladesh",24.2795348,91.1185143,"locality, political",APPROXIMATE,,,,Astagram,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Bajitpur,"2 found, use single geocode.","Bajitpur, Bangladesh",24.2137992,90.9522044,"locality, political",APPROXIMATE,,,,Bajitpur,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Bhairab,Ok,"Bhairab, Bangladesh",24.0555274,90.9802452,"locality, political",APPROXIMATE,,,,Bhairab,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Hossainpur,"2 found, use single geocode.","Hossainpur, Bangladesh",24.4174091,90.6547768,"locality, political",APPROXIMATE,,,,Hossainpur,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Itna,"2 found, use single geocode.","Itna, Bangladesh",24.5277311,91.0957418,"locality, political",APPROXIMATE,,,,Itna,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Karimganj,"2 found, use single geocode.","Karimganj Upazila, Bangladesh",24.47411752,90.86555119,"locality, political",APPROXIMATE,,,,Karimganj,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Katiadi,"2 found, use single geocode.","Katiadi, Bangladesh",24.2459071,90.7937015,"locality, political",APPROXIMATE,,,,Katiadi,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Kishoreganj-S,"2 found, use single geocode.","Kishoreganj, Bangladesh",24.4331227,90.7865655,"locality, political",APPROXIMATE,,,,Kishoreganj,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Kuliarchar,"2 found, use single geocode.","Kuliar Char, Bangladesh",24.1367698,90.9116263,"locality, political",APPROXIMATE,,,,Kuliar Char,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Mithamoin,Ok,"Mithamain, Bangladesh",24.4195583,91.0634024,"locality, political",APPROXIMATE,,,,Mithamain,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Nikli,Ok,"Nikli Upazila, Bangladesh",24.3242946,90.9336121,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Pakundia,"2 found, use single geocode.","Pakundia, Bangladesh",24.3296584,90.6796767,"locality, political",APPROXIMATE,,,,Pakundia,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Tarail,"2 found, use single geocode.","Tarail, Bangladesh",24.5491179,90.8907562,"locality, political",APPROXIMATE,,,,Tarail,Bangladesh,Mymensingh Division,Kishoreganj District,Kishoreganj District
Kalkini,"2 found, use single geocode.","Kalkini, Bangladesh",23.075497,90.2268113,"locality, political",APPROXIMATE,,,,Kalkini,Bangladesh,Dhaka Division,Madaripur District,Madaripur District
Madaripur-S,Ok,"Madaripur Sadar Upazila, Bangladesh",23.1649342,90.1939114,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Madaripur District,Madaripur District
Rajoir,Ok,"Rajoir, Bangladesh",23.2066833,90.0489902,"locality, political",APPROXIMATE,,,,Rajoir,Bangladesh,Dhaka Division,Madaripur District,Madaripur District
Shibchar,"2 found, use single geocode.","Shibchar, Bangladesh",23.3346105,90.1869644,"locality, political",APPROXIMATE,,,,Shibchar,Bangladesh,Dhaka Division,Madaripur District,Madaripur District
Daulatpur,"4 found, use single geocode.","Daulatpur, Bangladesh",24.01130512,88.8738099,"locality, political",APPROXIMATE,,,,Daulatpur,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Ghior,"2 found, use single geocode.","Ghior, Bangladesh",23.8970866,89.8715596,"locality, political",APPROXIMATE,,,,Ghior,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Harirampur,"3 found, use single geocode.","Harirampur, Bangladesh",23.75113576,89.9710116,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Manikganj-S,"2 found, use single geocode.","Manikganj, Bangladesh",23.8644225,90.004663,"locality, political",APPROXIMATE,,,,Manikganj,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Saturia,Ok,"Saturia, Bangladesh",23.9729721,90.0361533,"locality, political",APPROXIMATE,,,,Saturia,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Shivalaya,Ok,"Shivalaya, Bangladesh",23.84711649,89.70552221,"locality, political",APPROXIMATE,,,,Shivalaya,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Singair,"2 found, use single geocode.","Singair, Bangladesh",23.8136788,90.1460089,"locality, political",APPROXIMATE,,,,Singair,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Gazaria,"2 found, use single geocode.","Gazaria, Bangladesh",23.5798241,90.6408347,"locality, political",APPROXIMATE,,,,Gazaria,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Lauhajong,"Ok, partial match","Louhajang, Bangladesh",23.4743053,90.3207299,"locality, political",APPROXIMATE,,,,Louhajang,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Munshiganj-S,Ok,"Munshiganj Sadar Upazila, Bangladesh",23.5416259,90.5302758,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Sirajdikhan,Ok,"Sirajdikhan Upazila, Bangladesh",23.5961616,90.3936722,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Sreenagar,Ok,"Sreenagar Upazila, Bangladesh",23.542889,90.2949729,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Tongibari,Ok,"Tongibari, Bangladesh",23.5096549,90.4667501,"locality, political",APPROXIMATE,,,,Tongibari,Bangladesh,Dhaka Division,Munshiganj District,Munshiganj District
Araihazar,Ok,"Araihazar, Bangladesh",23.7916557,90.6535914,"locality, political",APPROXIMATE,,,,Araihazar,Bangladesh,Dhaka Division,Narayanganj District,Narayanganj District
Bandar,"Ok, partial match","Bandar Upazila, Bangladesh",23.63316159,90.53153919,"locality, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Narayanganj District,Narayanganj District
Narayanganj-S,Ok,"Narayanganj Sadar Upazila, Bangladesh",23.6237724,90.5001616,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Narayanganj District,Narayanganj District
Rupganj,"2 found, use single geocode.","Rupganj, Bangladesh",23.8158899,90.5399631,"locality, political",APPROXIMATE,,,,Rupganj,Bangladesh,Dhaka Division,Narayanganj District,Narayanganj District
Sonargaon,Ok,"Sonargaon, Bangladesh",23.6460948,90.5991042,"locality, political",APPROXIMATE,,,,Sonargaon,Bangladesh,Dhaka Division,Narayanganj District,Narayanganj District
Belabo,"3 found, use single geocode.","Belabo, Bangladesh",24.1050631,90.8514464,"locality, political",APPROXIMATE,,,,Belabo,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Monohardi,"2 found, use single geocode.","Monohardi Upazila, Bangladesh",24.1409605,90.7031816,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Narshingdi-S,"2 found, use single geocode.","Narsingdi, Bangladesh",23.9192671,90.7176492,"locality, political",APPROXIMATE,,,,Narsingdi,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Palash,No result,"Palash Upazila, Bangladesh",23.93720906,90.65429518,"locality, political",APPROXIMATE,,,,Narsingdi,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Raipura,"2 found, use single geocode.","Raipura Upazila, Bangladesh",23.9944276,90.8718692,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Shibpur,Ok,"Shibpur Upazila, Bangladesh",23.98061926,90.75262284,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Howrah,Bangladesh,Dhaka Division,Narsingdi District,Narsingdi District
Baliakandi,"2 found, use single geocode.","Baliakandi, Bangladesh",23.6346865,89.5474046,"locality, political",APPROXIMATE,,,,Baliakandi,Bangladesh,Dhaka Division,Rajbari District,Rajbari District
Goalanda,Ok,"Goalanda Upazila, Bangladesh",23.7236607,89.7637303,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Rajbari District,Rajbari District
Kalukhali,Ok,"Kalukhali Upazila, Bangladesh",23.76552523,89.46910333,administrative_area,APPROXIMATE,,,,,Bangladesh,Dhaka Division,Rajbari District,Rajbari District
Pangsha,Ok,"Pangsha, Bangladesh",23.7800218,89.412731,"locality, political",APPROXIMATE,,,,Pangsha,Bangladesh,Dhaka Division,Rajbari District,Rajbari District
Rajbari-S,"2 found, use single geocode.","Rajbari, Bangladesh",23.7638997,89.646737,"locality, political",APPROXIMATE,,,,Rajbari,Bangladesh,Dhaka Division,Rajbari District,Rajbari District
Bhedarganj,"2 found, use single geocode.","Bhedarganj, Bangladesh",23.1971305,90.44552,"locality, political",APPROXIMATE,,,,Bhedarganj,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Damuddya,"2 found, use single geocode.","Damudya, Bangladesh",23.1390793,90.4396248,"locality, political",APPROXIMATE,,,,Damudya,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Goshairhat,Ok,"Gosairhat, Bangladesh",23.0988395,90.4525954,"locality, political",APPROXIMATE,,,,Gosairhat,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Zajira,"Ok, partial match","Zajira Upazila, Bangladesh",23.34158194,90.35862633,"locality, political",APPROXIMATE,,,,,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Naria,"2 found, use single geocode.","Naria, Bangladesh",23.3059073,90.4089838,"locality, political",APPROXIMATE,,,,Naria,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Shariatpur-S,"2 found, use single geocode.","Shariatpur, Bangladesh",23.2197029,90.3501258,"locality, political",APPROXIMATE,,,,Shariatpur,Bangladesh,Dhaka Division,Shariatpur District,Shariatpur District
Basail,Ok,"Basail, Bangladesh",24.2330971,90.0513246,"locality, political",APPROXIMATE,,,,Basail,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Bhuapur,"2 found, use single geocode.","Bhuapur, Bangladesh",24.4662909,89.87039,"locality, political",APPROXIMATE,,,,Bhuapur,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Delduar,"2 found, use single geocode.","Delduar Upazila, Bangladesh",24.1647404,89.9650975,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Dhanbari,"2 found, use single geocode.","Dhanbari, Bangladesh",24.6845976,89.9486754,"locality, political",APPROXIMATE,,,,Dhanbari,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Ghatail,"2 found, use single geocode.","Ghatail, Bangladesh",24.4811953,89.9731798,"locality, political",APPROXIMATE,,,,Ghatail,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Gopalpur,Ok,"Gopalpur Upazila, Bangladesh",24.56293569,89.84182889,"locality, political",APPROXIMATE,,,,Gopalpur,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Kalihati,"2 found, use single geocode.","Kalihati, Bangladesh",24.3905945,89.9930052,"locality, political",APPROXIMATE,,,,Kalihati,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Madhupur,"2 found, use single geocode.","Madhupur Upazila,Bangladesh",24.60738843,90.01041662,"locality, political",APPROXIMATE,,,,Madhupur,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Mirzapur,Ok,"Mirzapur Upazila, Bangladesh",24.114888,90.16553405,"locality, political",APPROXIMATE,,,,,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Nagarpur,"2 found, use single geocode.","Nagarpur, Bangladesh",24.0576707,89.8762377,"locality, political",APPROXIMATE,,,,Nagarpur,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Shakhipur,"2 found, use single geocode.","Sakhipur, Bangladesh",24.3191857,90.1752525,"locality, political",APPROXIMATE,,,,Sakhipur,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Tangail-S,Ok,"Tangail, Bangladesh",24.2513451,89.9167104,"locality, political",APPROXIMATE,,,,Tangail,Bangladesh,Mymensingh Division,Tangail District,Tangail District
Bagerhat-S,Ok,"Bagerhat Sadar Upazila, Bangladesh",22.6551429,89.7661665,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Chitalmari,Ok,"Chitalmari Upazila, Bangladesh",22.7904387,89.8778169,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Fakirhat,Ok,"Fakirhat, Bangladesh",22.777513,89.7074695,"locality, political",APPROXIMATE,,,,Fakirhat,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Kachua,Ok,"Kachua, Bangladesh",23.341144,90.8889678,"locality, political",APPROXIMATE,,,,Kachua,Bangladesh,Chittagong Division,Chandpur District,Chandpur District
Mollahat,"2 found, use single geocode.","Mollahat, Bangladesh",22.9266143,89.8060068,"locality, political",APPROXIMATE,,,,Mollahat,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Mongla,"2 found, use single geocode.","Mongla Upazila, Bangladesh",22.54559685,89.47722635,"locality, political",APPROXIMATE,,,,Mongla,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Morrelganj,Ok,"Morrelganj, Bangladesh",22.4499409,89.8528416,"locality, political",APPROXIMATE,,,,Morrelganj,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Rampal,Ok,"Rampal, Bangladesh",22.583775,89.6722171,"locality, political",APPROXIMATE,,,,Rampal,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Sharankhola,Ok,"Sharankhola, Bangladesh",22.3128434,89.8481606,"locality, political",APPROXIMATE,,,,Sharankhola,Bangladesh,Khulna Division,Bagerhat District,Bagerhat District
Alamdanga,Ok,"Alamdanga, Bangladesh",23.7626671,88.9437807,"locality, political",APPROXIMATE,,,,Alamdanga,Bangladesh,Khulna Division,Chuadanga District,Chuadanga District
Chuadanga-S,"2 found, use single geocode.","Chuadanga, Bangladesh",23.6417895,88.8577016,"locality, political",APPROXIMATE,,,,Chuadanga,Bangladesh,Khulna Division,Chuadanga District,Chuadanga District
Damurhuda,"2 found, use single geocode.","Damurhuda, Bangladesh",23.6067377,88.7758503,"locality, political",APPROXIMATE,,,,Damurhuda,Bangladesh,Khulna Division,Chuadanga District,Chuadanga District
Jibannagar,Ok,"Jibannagar, Bangladesh",23.4226037,88.8238996,"locality, political",APPROXIMATE,,,,Jibannagar,Bangladesh,Khulna Division,Chuadanga District,Chuadanga District
Abhaynagar,"2 found, use single geocode.","Abhaynagar Upazila, Bangladesh",23.01556659,89.3143239,"locality, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Jessore District,Jessore District
Bagherpara,"2 found, use single geocode.","Bagherpara, Bangladesh",23.2172608,89.3487791,"locality, political",APPROXIMATE,,,,Bagherpara,Bangladesh,Khulna Division,Narail District,Narail District
Chowgacha,"3 found, use single geocode.","Chowgacha, Bangladesh",23.2632036,89.020323,"locality, political",APPROXIMATE,,,,Chowgacha,Bangladesh,Khulna Division,Jessore District,Jessore District
Jashore-S,"2 found, use single geocode.","Jessore District, Bangladesh",23.1634014,89.2181664,"administrative_area_level_2, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Jessore District,Jessore District
Jhikargacha,Ok,"Jhikargacha, Bangladesh",23.0999066,89.0991083,"locality, political",APPROXIMATE,,,,Jhikargacha,Bangladesh,Khulna Division,Jessore District,Jessore District
Keshabpur,"3 found, use single geocode.","Keshabpur, Bangladesh",22.905463,89.2193801,"locality, political",APPROXIMATE,,,,Keshabpur,Bangladesh,Khulna Division,Jessore District,Jessore District
Monirampur,"2 found, use single geocode.","Manirampur Upazila, Bangladesh",23.0242402,89.2326924,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Jessore District,Jessore District
Sharsha,"2 found, use single geocode.","Sharsha Upazila, Bangladesh",23.05287344,88.92659303,"locality, political",APPROXIMATE,,,,Saharsa,Bangladesh,Khulna Division,Jessore District,Jessore District
Harinakunda,"2 found, use single geocode.","Horinakunda, Bangladesh",23.6487722,89.0430191,"locality, political",APPROXIMATE,,,,Horinakunda,Bangladesh,Khulna Division,Jhenaidah District,Jhenaidah District
Jhenaidah-S,"2 found, use single geocode.","Jhenaidah, Bangladesh",23.5528198,89.1753614,"locality, political",APPROXIMATE,,,,Jhenaidah,Bangladesh,Khulna Division,Jhenaidah District,Jhenaidah District
Kaliganj,"2 found, use single geocode.","Kaliganj, Bangladesh",23.9644781,90.5730713,"locality, political",APPROXIMATE,,,,Kaliganj,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Kotchandpur,Ok,"Kotchandpur, Bangladesh",23.4075287,89.0119581,"locality, political",APPROXIMATE,,,,Kotchandpur,Bangladesh,Khulna Division,Jhenaidah District,Jhenaidah District
Moheshpur,Ok,"Maheshpur Upazila, Bangladesh",23.3598198,88.9171619,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Jhenaidah District,Jhenaidah District
Shailkupa,Ok,"Shailkupa, Bangladesh",23.6840828,89.2419658,"locality, political",APPROXIMATE,,,,Shailkupa,Bangladesh,Khulna Division,Jhenaidah District,Jhenaidah District
Batiaghata,Ok,"Batiaghata, Bangladesh",22.7263608,89.5025641,"locality, political",APPROXIMATE,,,,Batiaghata,Bangladesh,Khulna Division,Khulna District,Khulna District
Dacope,Ok,"Dacope, Bangladesh",22.6012347,89.5072866,"locality, political",APPROXIMATE,,,,Dacope,Bangladesh,Khulna Division,Khulna District,Khulna District
Dighalia,Ok,"Dighalia Upazila, Bangladesh",22.8958119,89.5218474,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Khulna District,Khulna District
Dumuria,"2 found, use single geocode.","Dumuria, Bangladesh",22.8052037,89.4194024,"locality, political",APPROXIMATE,,,,Dumuria,Bangladesh,Khulna Division,Khulna District,Khulna District
Koyra,Ok,"Koyra Upazila, Bangladesh",22.36987379,89.42265484,"locality, political",APPROXIMATE,,,,Koyra,Bangladesh,Khulna Division,Khulna District,Khulna District
Paikgacha,Ok,"Paikgachha, Bangladesh",22.5930919,89.3167649,"locality, political",APPROXIMATE,,,,Paikgachha,Bangladesh,Khulna Division,Khulna District,Khulna District
Phultala,"2 found, use single geocode.","Phultala, Bangladesh",22.9704664,89.4505802,"locality, political",APPROXIMATE,,,,Phultala,Bangladesh,Khulna Division,Khulna District,Khulna District
Rupsha,Ok,"Rupsha Upazila, Bangladesh",22.80619251,89.52902268,"locality, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Khulna District,Khulna District
Terokhada,Ok,"Terokhada, Bangladesh",22.9353223,89.6675144,"locality, political",APPROXIMATE,,,,Terokhada,Bangladesh,Khulna Division,Khulna District,Khulna District
Bheramara,"2 found, use single geocode.","Bheramara, Bangladesh",24.020975,88.9922341,"locality, political",APPROXIMATE,,,,Bheramara,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Daulatpur,"4 found, use single geocode.","Daulatpur, Bangladesh",23.96538284,89.77911568,"locality, political",APPROXIMATE,,,,Daulatpur,Bangladesh,Dhaka Division,Manikganj District,Manikganj District
Khoksha,Ok,"Khoksha, Bangladesh",23.8033041,89.2894733,"locality, political",APPROXIMATE,,,,Khoksha,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Kumarkhali,Ok,"Kumarkhali, Bangladesh",23.8595814,89.239589,"locality, political",APPROXIMATE,,,,Kumarkhali,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Kushtia-S,"2 found, use single geocode.","Kushtia, Bangladesh",23.9087767,89.1219822,"locality, political",APPROXIMATE,,,,Kushtia,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Mirpur,Ok,"Mirpur Upazila,Bangladesh",23.93171148,88.99486731,"locality, political",APPROXIMATE,,,,Kushtia,Bangladesh,Khulna Division,Kushtia District,Kushtia District
Magura-S,Ok,"Magura District, Bangladesh",23.4289726,89.436391,"administrative_area_level_2, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Magura District,Magura District
Mohammadpur,"2 found, use single geocode.","Mohammadpur, Dhaka, Bangladesh",23.7661639,90.3588734,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Dhaka,Bangladesh,Dhaka Division,Dhaka District,Dhaka District
Salikha,"2 found, use single geocode.","Shalikha Upazila, Bangladesh",23.3020599,89.3761228,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Magura District,Magura District
Sreepur,Ok,"Sreepur, Bangladesh",24.1996574,90.4809098,"locality, political",APPROXIMATE,,,,Sreepur,Bangladesh,Dhaka Division,Gazipur District,Gazipur District
Gangni,Ok,"Gangni, Bangladesh",23.8206519,88.7421831,"locality, political",APPROXIMATE,,,,Gangni,Bangladesh,Khulna Division,Meherpur District,Meherpur District
Meherpur-S,"2 found, use single geocode.","Meherpur, Bangladesh",23.7721263,88.631372,"locality, political",APPROXIMATE,,,,Meherpur,Bangladesh,Khulna Division,Meherpur District,Meherpur District
Mujib Nagar,Ok,"Mujibnagar, Bangladesh",23.646846,88.5927608,"locality, political",APPROXIMATE,,,,Mujibnagar,Bangladesh,Khulna Division,Meherpur District,Meherpur District
Kalia,Ok,"Kalia Upazila, Bangladesh",23.04135223,89.75187632,"locality, political",APPROXIMATE,,,,Kalia,Bangladesh,Khulna Division,Narail District,Narail District
Lohagara,"2 found, use single geocode.","Lohagara, Bangladesh",22.0401954,92.1008486,"locality, political",APPROXIMATE,,,,Lohagara,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Narail-S,Ok,"Narail, Bangladesh",23.1656982,89.4990219,"locality, political",APPROXIMATE,,,,Narail,Bangladesh,Khulna Division,Narail District,Narail District
Assasuni,"2 found, use single geocode.","Assasuni Upazila, Bangladesh",22.5409427,89.1619217,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Khulna Division,Satkhira District,Satkhira District
Debhata,Ok,"Debhata, Bangladesh",22.5809462,88.9892448,"locality, political",APPROXIMATE,,,,Debhata,Bangladesh,Khulna Division,Satkhira District,Satkhira District
Kalaroa,"2 found, use single geocode.","Kalaroa, Bangladesh",22.8583135,89.0394363,"locality, political",APPROXIMATE,,,,Kalaroa,Bangladesh,Khulna Division,Satkhira District,Satkhira District
