
ID      Weight    Value     
19123   53        397       
19131   71        513       
19139   70        544       
19141   38        231       
19143   27        697       
19152   17        390       
19156   141       917       
19157   42        734       
19176   205       857       
19177   104       438       
19198   98        732       
19204   159       773       
19208   58        440       
19219   163       918       
19230   155       771       
19236   67        858       
19260   36        469       
19264   99        443       
19273   15        840       
19274   21        860       
19283   53        353       
19298   71        985       
19306   65        740       
19307   5         442       
19309   16        418       
19324   106       812       
19340   88        950       
19342   155       711       
19346   144       857       
19355   62        947       
19356   46        212       
19365   176       918       
19396   45        838       
19405   103       603       
19412   225       964       
19414   182       879       
19420   125       939       
19462   19        790       
19487   14        658       
19499   147       782       
19530   66        949       
19532   29        999       
19547   33        606       
19548   86        683       
19549   133       875       
19559   3         231       
19563   12        980       
19572   117       527       
19574   80        351       
19583   6         905       
19593   74        939       
19595   67        505       
19619   1         391       
19622   69        500       
19623   93        863       
19624   19        498       
19630   7         249       
19638   143       704       
19649   118       508       
19651   140       615       
19666   142       924       
19672   86        766       
19677   71        977       
19696   65        641       
19700   62        529       
19706   80        926       
19710   68        749       
19723   91        880       
19740   44        446       
19749   197       818       
19758   37        489       
19764   108       467       
19779   30        895       
19781   57        559       
19786   19        595       
19797   61        970       
19803   84        934       
19805   25        244       
19812   85        678       
19842   55        706       
19846   40        820       
19851   128       957       
19861   29        880       
19869   50        771       
19900   169       710       
19901   185       997       
19905   9         984       
19906   9         900       
19930   140       688       
19948   105       953       
19951   26        450       
19958   49        949       
19963   80        610       
19968   163       972       
20000   35        996       
20004   92        435       
20027   52        855       
20031   102       966       
20036   52        995       
20045   72        306       
20051   117       931       
20061   167       762       
20070   33        674       
20077   120       788       
20082   13        450       
20109   124       878       
20114   32        524       
20128   54        473       
20132   127       822       
20134   90        447       
20143   82        786       
20149   55        429       
20158   7         55        
20168   31        839       
20169   181       763       
20185   50        981       
20211   115       665       
20212   172       913       
20215   49        659       
20229   18        381       
20231   40        427       
20249   78        412       
20264   226       942       
20265   4         844       
20268   68        529       
20299   54        695       
20305   144       918       
20319   170       975       
20323   39        522       
20326   59        388       
20336   165       722       
20346   93        741       
20359   88        980       
20360   154       634       
20381   110       670       
20395   5         130       
20397   151       936       
20398   47        264       
20409   72        691       
20415   62        375       
20425   72        928       
20442   174       968       
20483   188       885       
20490   6         382       
20506   5         806       
20517   180       748       
20526   53        688       
20537   27        506       
20543   40        643       
20550   99        789       
20571   45        960       
20577   111       765       
20608   51        753       
20613   24        142       
20629   205       889       
20638   145       852       
20655   61        644       
20656   61        304       
20659   20        641       
20663   21        174       
20669   160       846       
20675   42        216       
20696   175       934       
20708   97        452       
20734   102       705       
20744   11        800       
20746   110       599       
20760   107       788       
20766   25        531       
20768   125       619       
20769   151       849       
20776   105       735       
20791   27        836       
20794   67        408       
20807   64        537       
20808   19        94        
20820   106       698       
20822   46        257       
20826   63        784       
20834   66        496       
20847   63        259       
20854   112       522       
20862   98        854       
20866   20        398       
20891   206       956       
20916   7         588       
20931   106       951       
20933   28        788       
20953   112       891       
20957   64        750       
20962   103       999       
20979   41        862       
20984   85        486       
20987   27        299       
21013   12        909       
21022   49        983       
21029   45        691       
21032   14        902       
21045   42        986       
21047   113       995       
21070   190       911       
21071   35        235       
21075   36        271       
21080   94        813       
21085   52        488       
21087   74        669       
21089   72        644       
21095   6         67        
21096   22        384       
21099   106       606       
21117   11        517       
21118   182       808       
21120   27        968       
21134   50        931       
21139   23        492       
21140   151       727       
21151   96        718       
21166   83        871       
21173   35        317       
21175   31        413       
21184   198       830       
21195   89        890       
21208   28        684       
21209   141       576       
21219   90        926       
21221   103       882       
21225   141       803       
21235   72        330       
21243   83        694       
21270   70        741       
21292   20        565       
21305   51        216       
21311   60        756       
21314   48        222       
21320   170       719       
21330   124       952       
21337   154       934       
21355   17        106       
21360   65        751       
21364   72        501       
21385   211       960       
21403   97        556       
21406   81        623       
21414   184       822       
21420   45        787       
21425   51        214       
21447   142       990       
21448   83        431       
21449   132       756       
21456   22        793       
21457   8         449       
21462   15        628       
21464   58        588       
21472   200       979       
21484   39        809       
21490   191       909       
21495   92        665       
21497   33        686       
21501   31        297       
21505   74        900       
21509   14        669       
21515   50        425       
21543   6         129       
21557   19        138       
21561   44        273       
21564   20        800       
21569   85        505       
21573   98        913       
21587   57        817       
21606   112       902       
21607   84        566       
21612   42        996       
21615   185       867       
21628   144       819       
21629   80        638       
21634   68        451       
21638   59        701       
21645   46        438       
21646   191       901       
21655   25        974       
21660   152       995       
21661   64        342       
21667   9         50        
21668   138       673       
21681   79        656       
21684   111       891       
21690   54        991       
21694   141       621       
21713   50        843       
21729   168       999       
21731   101       628       
21742   98        703       
21749   150       975       
21760   5         532       
21765   32        296       
21767   41        186       
21770   8         829       
21787   19        437       
21800   215       953       
21811   85        749       
21815   36        842       
21821   58        680       
21826   1         938       
21831   33        346       
21838   37        404       
21842   27        149       
21859   123       934       
21862   15        151       
21871   114       725       
21874   1         732       
21880   18        264       
21884   83        854       
21890   70        490       
21893   58        814       
21901   44        720       
21905   90        476       
21906   24        790       
21921   152       762       
21930   12        128       
21933   73        542       
21947   53        494       
21963   119       665       
21968   190       843       
21976   122       887       
21982   139       687       
21983   47        328       
21999   126       695       
22000   144       746       
22012   76        952       
22018   97        1000      
22019   222       921       
22020   3         421       
22023   63        306       
22025   37        687       
22029   90        640       
22035   136       729       
22043   199       943       
22044   85        641       
22048   89        766       
22061   10        473       
22073   222       942       
22084   157       1000      
22085   152       690       
22091   73        971       
22095   24        437       
22115   40        659       
22117   80        968       
22122   104       934       
22125   41        336       
22127   93        755       
22130   58        948       
22144   142       754       
22146   53        221       
22149   33        651       
22160   27        903       
22164   51        485       
22175   50        332       
22176   64        738       
22179   204       928       
22187   160       962       
22200   33        633       
22203   39        951       
22207   56        253       
22210   41        363       
22218   25        214       
22231   26        710       
22238   118       632       
22243   32        757       
22245   36        668       
22246   62        413       
22250   36        475       
22252   18        225       
22257   29        971       
22263   11        138       
22267   54        306       
22283   191       863       
22285   74        815       
22292   63        345       
22294   130       933       
22307   116       953       
22313   56        518       
22315   15        699       
22318   11        856       
22335   159       779       
22337   114       939       
22351   53        258       
22427   164       921       
22436   106       494       
22459   11        90        
22472   77        476       
22482   79        679       
22491   51        954       
22496   189       898       
22502   82        527       
22522   30        373       
22526   84        566       
22527   10        53        
22534   38        465       
22539   120       526       
22560   45        319       
22569   190       945       
22578   86        839       
22587   45        314       
22592   16        873       
22604   50        781       
22605   122       966       
22613   4         440       
22616   51        688       
22617   42        275       
22618   60        397       
22626   14        804       
22660   13        81        
22662   44        306       
22663   10        920       
22664   17        305       
22673   101       459       
22683   16        740       
22692   187       964       
22698   60        970       
22707   124       532       
22713   77        818       
22716   80        905       
22717   21        353       
22725   67        441       
22727   37        952       
22729   121       656       
22741   35        146       
22747   137       634       
22749   3         946       
22774   38        943       
22783   158       897       
22791   42        748       
22792   203       944       
22796   51        281       
22803   200       897       
22811   180       778       
22824   71        568       
22829   146       849       
22841   30        931       
22850   73        923       
22854   70        699       
22857   25        229       
22859   34        244       
22862   87        415       
22863   138       682       
22867   123       937       
22872   87        417       
22884   34        951       
22906   38        445       
22920   32        954       
22924   78        356       
22946   5         716       
22961   23        940       
22974   42        229       
22976   123       898       
22978   34        187       
22994   76        316       
23015   98        743       
23016   44        786       
23036   61        785       
23039   97        874       
23041   137       793       
23060   161       730       
23068   44        619       
23075   205       847       
23080   92        950       
23083   69        863       
23113   127       568       
23124   21        383       
23141   97        584       
23145   158       756       
23158   17        602       
23166   206       918       
23190   9         658       
23194   92        535       
23197   70        516       
23205   35        253       
23213   18        671       
23224   119       751       
23228   153       750       
23235   37        834       
23244   87        367       
23246   39        840       
23259   50        655       
23263   7         849       
23286   70        830       
23287   164       767       
23289   33        592       
23307   38        595       
23341   70        588       
23360   11        259       
23366   86        615       
23379   150       836       
23380   194       895       
23381   39        632       
23387   70        375       
23388   4         285       
23389   149       738       
23392   163       739       
23393   136       638       
23414   11        425       
23427   15        160       
23462   12        118       
23476   64        591       
23479   47        496       
23490   103       979       
23497   12        917       
23516   197       830       
23526   62        517       
23529   8         127       
23532   199       919       
23545   9         170       
23548   28        427       
23554   87        479       
23564   134       833       
23582   57        871       
23584   114       912       
23604   142       698       
23616   46        508       
23619   46        977       
23620   44        728       
23625   160       760       
23634   137       719       
23657   58        654       
23670   71        757       
23676   149       880       
23681   184       757       
23697   26        372       
23700   44        946       
23706   66        278       
23719   29        622       
23722   142       827       
23731   54        988       
23745   14        736       
23747   76        926       
23751   168       895       
23753   32        812       
23758   31        815       
23759   167       897       
23769   101       659       
23785   91        724       
23794   93        922       
23796   35        182       
23797   20        940       
23805   8         633       
23810   101       425       
23831   55        957       
23837   69        807       
23845   99        580       
23855   212       957       
23870   4         594       
23872   73        769       
23877   64        875       
23900   41        618       
23901   132       560       
23910   44        809       
23912   175       870       
23918   54        790       
23920   122       823       
23936   32        284       
23944   11        120       
23949   124       800       
23979   34        338       
23984   199       861       
23986   85        911       
23999   68        469       
24009   49        933       
24037   201       904       
24042   5         234       
24046   33        157       
24056   69        795       
24074   97        528       
24079   90        922       
24081   128       852       
24094   10        226       
24108   182       769       
24129   29        884       
24134   52        516       
24137   115       977       
24150   97        477       
24155   93        640       
24184   115       816       
24187   127       685       
24192   179       827       
24193   166       1000      
24201   165       828       
24204   153       730       
24209   75        541       
24216   33        889       
24223   190       923       
24233   135       972       
24235   7         392       
24275   4         991       
24277   39        991       
24278   129       568       
24289   6         600       
24298   74        714       
24299   15        315       
24300   182       864       
24303   15        934       
24347   32        528       
24354   203       941       
24373   29        523       
24385   12        761       
24388   136       824       
24393   20        398       
24410   30        526       
24412   110       479       
24417   18        171       
24426   26        428       
24427   12        487       
24429   32        476       
24433   182       926       
24438   48        541       
24455   112       600       
24477   141       767       
24478   37        881       
24517   109       921       
24542   41        412       
24544   8         832       
24553   83        551       
24554   54        887       
24559   209       899       
24560   42        644       
24593   106       972       
24595   150       645       
24596   41        897       
24601   105       708       
24602   175       799       
24605   107       808       
24611   31        403       
24618   113       885       
24621   118       891       
24626   25        311       
24637   102       672       
24646   46        614       
24647   112       561       
24666   68        904       
24667   72        597       
24668   69        629       
24670   104       770       
24673   200       965       
24675   64        753       
24678   53        357       
24686   57        456       
24700   85        772       
24709   45        318       
24713   43        925       
24714   59        900       
24716   23        958       
24764   27        431       
24805   43        530       
24817   23        754       
24822   49        854       
24824   116       602       
24829   124       887       
24840   229       986       
24858   134       771       
24868   22        951       
24869   69        892       
24884   119       930       
24885   170       906       
24895   71        638       
24901   169       722       
24909   90        495       
24920   8         405       
24923   75        918       
24941   83        947       
24942   67        811       
24945   221       981       
24947   57        843       
24954   157       891       
24963   78        699       
24965   4         290       
24968   127       637       
24971   63        589       
24983   20        899       
24993   40        180       
24995   6         939       
24999   99        888       
25006   212       978       
25008   127       658       
25013   17        362       
25025   4         997       
25032   13        598       
25060   70        798       
25069   105       977       
25070   113       782       
25071   127       691       
25072   72        294       
25091   59        616       
25092   32        357       
25093   108       531       
25106   68        356       
25111   56        939       
25120   152       716       
25125   31        873       
25127   163       808       
25133   181       755       
25140   112       900       
25149   125       690       
25156   91        700       
25159   89        560       
25160   137       637       
25167   173       753       
25175   102       595       
25187   18        950       
25192   11        944       
25195   77        816       
25201   63        405       
25208   190       840       
25231   31        137       
25251   117       965       
25257   62        474       
25265   150       722       
25269   85        455       
25270   66        504       
25275   62        780       
25279   43        188       
25282   162       946       
25283   38        160       
25294   31        302       
25308   58        603       
25312   161       801       
25313   106       512       
25314   35        623       
25325   111       510       
25345   62        598       
25347   96        728       
25354   53        303       
25364   95        661       
25392   59        750       
25434   146       712       
25435   46        694       
25443   117       588       
25469   119       643       
25474   30        701       
25477   52        253       
25480   112       867       
25492   122       833       
25499   154       751       
25505   208       891       
25510   129       931       
25529   54        688       
25538   139       572       
25545   111       905       
25547   12        948       
25568   10        338       
25589   85        905       
25603   90        429       
25607   83        685       
25610   51        409       
25611   128       834       
25642   87        749       
25647   81        532       
25648   231       954       
25652   144       859       
25656   80        398       
25662   6         779       
25664   84        973       
25667   42        425       
25675   46        665       
25677   141       943       
25680   120       961       
25687   83        793       
25692   71        610       
25696   50        838       
25699   196       881       
25703   72        855       
25709   47        494       
25711   73        580       
25713   45        657       
25728   21        244       
25731   161       745       
25757   36        201       
25768   24        639       
25778   9         317       
25802   124       828       
25811   56        612       
25835   18        166       
25841   101       929       
25846   137       706       
25868   35        328       
25871   6         844       
25872   93        785       
25880   9         184       
25883   85        692       
25890   52        567       
25894   52        456       
25907   68        451       
25909   122       541       
25920   43        510       
25921   185       981       
25926   32        621       
25930   36        375       
25935   86        511       
25947   89        699       
25952   46        775       
25968   12        161       
25974   13        346       
25977   196       861       
25987   2         482       
25997   16        148       
26000   115       671       
26003   58        859       
26033   23        923       
26045   81        370       
26051   27        438       
26053   38        931       
26058   157       837       
26059   42        422       
26071   98        448       
26078   177       861       
26092   75        518       
26100   91        552       
26107   141       787       
26115   15        945       
26127   58        669       
26150   171       903       
26153   133       711       
26159   214       922       
26180   162       820       
26189   102       520       
26195   83        692       
26209   154       889       
26210   60        589       
26213   109       784       
26222   60        747       
26223   24        769       
26224   102       529       
26225   9         514       
26246   1         682       
26251   136       571       
26269   101       989       
26272   160       722       
26278   51        287       
26293   148       969       
26294   128       878       
26295   70        707       
26298   101       608       
26299   145       625       
26332   171       758       
26355   35        340       
26357   155       857       
26368   27        774       
26370   115       839       
26372   155       712       
26383   99        836       
26384   35        904       
26386   94        907       
26420   94        591       
26439   159       705       
26448   66        615       
26460   29        927       
26461   21        341       
26463   28        995       
26464   160       966       
26473   46        813       
26479   45        720       
26488   175       791       
26496   113       482       
26497   78        804       
26498   38        478       
26503   139       804       
26509   23        951       
26519   81        929       
26536   125       913       
26538   43        855       
26539   123       861       
26546   35        539       
26568   62        861       
26583   14        186       
26594   77        892       
26599   2         30        
26609   144       864       
26611   76        805       
26616   166       879       
26635   72        519       
26637   177       906       
26642   5         411       
26645   140       669       
26654   68        858       
26658   40        991       
26678   19        301       
26679   181       946       
26697   217       911       
26706   78        432       
26709   140       642       
26710   32        802       
26721   35        209       
26735   10        678       
26742   8         56        
26751   7         683       
26771   4         316       
26789   55        396       
26793   160       911       
26798   61        731       
26817   165       802       
26837   15        672       
26846   56        379       
26851   36        642       
26869   49        586       
26872   144       949       
26876   38        642       
26896   72        916       
26899   61        391       
26912   20        135       
26923   8         717       
26926   97        854       
26930   3         799       
26935   13        431       
26939   182       826       
26953   17        121       
26958   11        487       
26959   83        650       
26960   208       950       
26972   18        478       
26975   30        523       
26984   43        665       
26985   189       965       
26994   142       715       
26995   146       747       
27021   35        408       
27023   95        669       
27027   23        230       
27028   1         615       
27030   80        565       
27043   107       844       
27046   12        62        
27052   101       877       
27054   34        662       
27060   43        274       
27076   3         274       
27086   198       826       
27090   68        519       
27106   99        849       
27109   154       927       
27123   51        389       
27144   27        710       
27152   92        440       
27169   73        780       
27171   32        779       
27181   30        439       
27185   5         641       
27195   35        254       
27205   20        231       
27233   34        234       
27251   51        372       
27255   1         191       
27263   66        451       
27265   137       880       
27270   155       713       
27272   75        557       
27274   121       936       
27275   47        665       
27277   11        632       
27305   13        661       
27314   35        724       
27323   32        844       
27327   151       644       
27328   77        481       
27337   43        218       
27339   62        637       
27345   96        621       
27348   75        646       
27354   19        658       
27365   14        381       
27384   24        355       
27403   3         29        
27423   51        640       
27424   84        780       
27432   131       780       
27438   90        953       
27439   14        173       
27447   13        371       
27457   20        477       
27478   49        458       
27492   8         433       
27504   39        341       
27505   11        190       
27516   183       754       
27517   206       921       
27522   51        979       
27528   53        476       
27537   16        857       
27541   45        811       
27545   85        496       
27547   104       895       
27548   7         985       
27551   113       805       
27552   25        480       
27553   13        314       
27554   162       961       
27556   228       974       
27560   112       493       
27563   165       794       
27587   17        872       
27589   10        729       
27600   100       949       
27606   122       790       
27620   157       799       
27621   53        278       
27626   203       882       
27633   3         808       
27641   8         128       
27650   104       989       
27652   158       987       
27655   86        992       
27657   119       757       
27667   62        722       
27670   18        162       
27673   54        326       
27719   91        552       
27730   9         182       
27731   102       686       
27732   122       716       
27738   50        619       
27742   196       912       
27750   170       898       
27759   232       967       
27763   153       719       
27768   131       734       
27780   216       921       
27791   186       999       
27798   139       843       
27829   66        320       
27830   125       836       
27837   82        360       
27846   43        537       
27857   27        640       
27872   38        658       
27883   128       868       
27884   146       672       
27888   66        825       
27905   26        167       
27909   41        298       
27918   43        460       
27921   62        607       
27923   124       692       
27930   144       802       
27933   160       858       
27945   101       986       
27952   26        750       
27954   113       489       
27958   118       516       
27959   155       960       
27965   65        666       
27971   131       553       
27973   47        936       
27993   104       484       
28008   19        427       
28010   147       850       
28024   42        312       
28026   161       959       
28030   48        529       
28032   169       976       
28045   115       690       
28049   78        678       
28051   10        719       
28053   24        897       
28057   17        574       
28069   55        629       
28070   99        927       
28071   21        342       
28075   109       652       
28088   75        929       
28090   130       853       
28098   91        825       
28102   104       589       
28141   188       805       
28150   28        160       
28153   63        617       
28170   84        377       
28179   192       814       
28181   176       972       
28182   95        804       
28193   104       799       
28200   104       928       
28215   30        454       
28216   22        452       
28222   188       992       
28236   231       971       
28237   3         771       
28244   7         286       
28259   206       918       
28261   71        359       
28273   5         316       
28278   48        667       
28299   36        694       
28302   40        656       
28318   32        360       
28322   28        437       
28335   129       865       
28337   188       931       
28350   17        821       
28361   29        396       
28366   83        815       
28375   83        505       
28379   208       983       
28383   177       895       
28386   112       761       
28394   174       724       
28396   58        512       
28398   124       602       
28409   74        713       
28410   4         71        
28445   215       953       
28452   56        303       
28456   56        684       
28464   86        640       
28469   79        768       
28474   53        710       
28475   181       903       
28481   124       931       
28496   50        381       
28503   121       852       
28512   115       663       
28515   90        913       
28536   115       673       
28537   140       937       
28539   115       965       
28542   61        864       
28556   12        907       
28558   122       511       
28568   199       999       
28571   52        418       
28577   108       983       
28583   31        273       
28596   34        634       
28613   14        196       
28617   150       712       
28637   124       860       
28640   9         247       
28662   65        963       
28666   72        580       
28678   75        382       
28681   92        884       
28733   64        651       
28739   46        714       
28743   63        334       
28759   27        591       
28761   154       837       
28765   32        828       
28767   43        445       
28771   193       875       
28772   28        289       
28774   96        947       
28783   7         473       
28791   97        744       
28800   49        968       
28809   121       506       
28814   57        265       
28824   15        982       
28828   106       759       
28830   23        842       
28865   63        492       
28868   52        955       
28876   22        753       
28881   8         185       
28888   57        867       
28889   60        703       
28895   85        633       
28897   169       714       
28914   211       952       
28917   38        416       
28931   97        890       
28934   118       783       
28936   26        708       
28946   5         219       
28958   58        674       
28959   139       851       
28969   176       787       
28981   20        233       
28982   32        700       
28988   39        766       
28989   140       602       
28993   21        613       
28999   31        514       
29013   60        940       
29031   112       921       
29039   57        631       
29064   150       628       
29066   34        501       
29079   118       609       
29085   69        810       
29105   10        297       
29106   19        859       
29108   34        807       
29111   176       921       
29116   45        220       
29121   2         586       
29124   125       949       
29136   17        505       
29143   44        824       
29145   52        595       
29156   16        834       
29163   72        790       
29164   145       997       
29171   58        921       
29200   97        690       
29214   42        578       
29230   114       971       
29233   171       868       
29240   108       607       
29243   71        949       
29247   74        678       
29254   10        325       
29258   103       706       
29279   89        903       
29288   170       844       
29289   91        870       
29296   194       869       
29299   159       717       
29305   187       901       
29307   35        596       
29313   6         286       
29316   137       889       
29324   116       709       
29338   3         633       
29352   21        747       
29358   223       924       
29364   14        387       
29368   236       978       
29375   102       490       
29377   22        687       
29410   26        971       
29425   39        211       
29427   80        903       
29429   114       555       
29430   152       918       
29440   117       672       
29447   2         742       
29452   64        734       
29458   2         184       
29480   26        443       
29490   113       614       
29497   25        124       
29499   37        563       
29523   117       675       
29531   152       792       
29540   22        342       
29541   14        107       
29546   69        605       
29547   154       966       
29550   160       684       
29560   62        404       
29562   9         771       
29569   163       930       
29592   81        661       
29599   51        455       
29603   75        399       
29636   32        239       
29637   86        738       
29639   95        451       
29641   38        989       
29642   207       896       
29646   218       963       
29650   201       938       
29657   38        838       
29662   120       608       
29673   187       769       
29684   13        306       
29692   139       929       
29698   20        509       
29702   32        139       
29718   93        576       
29728   41        921       
29732   69        895       
29733   8         161       
29737   134       781       
29744   63        909       
29746   23        174       
29748   68        907       
29752   102       756       
29755   97        922       
29756   76        332       
29773   42        238       
29781   58        764       
29782   11        93        
29791   189       886       
29792   73        818       
29794   5         61        
29820   23        307       
29827   65        664       
29832   67        587       
29834   94        452       
29841   70        992       
29864   111       811       
29878   181       742       
29887   121       667       
29888   2         674       
29898   45        491       
29918   51        706       
29958   57        751       
29960   21        358       
29962   90        725       
29969   50        381       
29982   39        708       
30008   34        796       
30010   17        320       
30026   33        880       
30032   78        686       
30033   29        342       
30041   1         141       
30042   21        283       
30055   129       665       
30065   89        863       
30085   65        459       
30095   86        844       
30107   209       883       
30111   180       874       
30113   53        290       
30116   166       854       
30136   49        753       
30141   146       670       
30147   21        878       
30165   9         446       
30177   77        780       
30207   24        694       
30209   4         753       
30217   11        323       
30224   88        848       
30236   17        310       
30238   59        455       
30256   36        684       
30269   15        592       
30275   33        675       
30278   131       623       
30288   76        315       
30305   150       675       
30326   225       967       
30333   159       883       
30339   21        359       
30340   12        386       
30354   37        275       
30360   51        941       
30363   139       783       
30366   111       749       
30374   104       816       
30389   5         571       
30394   31        927       
30400   141       1000      
30401   174       806       
30414   134       917       
30420   11        101       
30421   33        475       
30428   49        980       
30435   12        170       
30442   36        715       
30454   146       739       
30473   136       601       
30479   153       751       
30491   41        312       
30499   68        399       
30532   109       800       
30537   14        96        
30565   189       940       
30568   8         917       
30572   56        837       
30578   150       759       
30586   25        608       
30589   35        333       
30593   38        373       
30605   33        624       
30608   147       929       
30623   25        321       
30624   58        960       
30629   9         333       
30632   36        855       
30645   102       714       
30663   100       956       
30676   69        707       
30710   15        319       
30714   114       577       
30726   57        589       
30730   20        900       
30735   32        392       
30742   50        827       
30751   180       818       
30752   20        370       
30760   213       954       
30764   7         898       
30769   73        328       
30772   13        730       
30798   35        394       
30800   86        980       
30801   21        992       
30809   12        390       
30812   108       892       
30815   92        723       
30819   9         309       
30827   6         534       
30836   45        696       
30858   117       872       
30862   122       888       
30867   166       817       
30873   156       848       
30874   149       964       
30878   186       893       
30914   32        896       
30941   8         982       
30944   80        535       
30949   22        702       
30950   90        803       
30968   15        83        
30971   19        440       
30973   150       629       
30975   96        816       
30986   71        723       
30988   58        787       
30990   50        442       
31002   126       703       
31007   31        314       
31017   15        891       
31019   74        456       
31024   49        520       
31030   85        942       
31039   21        806       
31056   11        232       
31065   126       808       
31085   206       909       
31086   68        955       
31088   159       689       
31094   225       992       
31102   81        957       
31109   111       574       
31127   63        794       
31129   61        909       
31136   11        185       
31144   143       879       
31146   109       954       
31149   170       739       
31160   113       656       
31161   5         221       
31166   70        618       
31167   165       912       
31178   43        452       
31179   98        796       
31204   52        394       
31205   24        758       
31211   11        307       
31213   98        432       
31222   44        964       
31223   113       750       
31225   176       833       
31235   29        213       
31244   130       896       
31248   32        363       
31255   18        454       
31269   194       816       
31276   2         706       
31282   122       620       
31293   79        670       
31296   63        737       
31300   112       870       
31319   19        360       
31335   155       637       
31336   99        550       
31337   171       805       
31342   71        335       
31344   181       746       
31359   72        516       
31365   122       799       
31366   61        326       
31368   53        616       
31386   120       658       
31390   148       610       
31394   10        211       
31410   63        949       
31411   6         129       
31415   32        941       
31421   115       570       
31422   15        436       
31434   206       931       
31443   11        989       
31457   143       667       
31461   79        732       
31462   67        458       
31467   90        491       
31471   137       715       
31476   214       994       
31477   107       632       
31481   87        773       
31482   121       528       
31487   65        711       
31495   216       907       
31508   72        906       
31515   122       833       
31532   153       633       
31536   100       888       
31541   106       521       
31546   188       828       
31552   5         350       
31568   216       911       
31574   175       794       
31577   114       776       
31587   206       946       
31618   160       725       
31626   105       772       
31629   104       610       
31638   92        613       
31641   94        945       
31657   138       963       
31660   121       987       
31663   123       817       
31665   93        795       
31674   1         99        
31675   115       474       
31676   85        390       
31678   20        441       
31682   57        790       
31692   112       634       
31694   74        718       
31695   40        328       
31702   112       756       
31719   62        578       
31732   19        652       
31736   1         219       
31738   125       646       
31742   88        643       
31771   92        405       
31779   104       998       
31794   14        780       
31802   128       852       
31803   87        404       
31805   24        229       
31809   96        757       
31810   206       869       
31812   186       885       
31814   101       650       
31815   158       956       
31818   184       906       
31828   20        950       
31838   73        933       
31842   145       870       
31868   30        747       
31875   155       941       
31878   118       557       
31887   208       857       
31892   144       683       
31895   76        917       
31907   79        917       
31911   61        324       
31913   26        410       
31922   45        557       
31930   64        611       
31934   118       634       
31939   153       752       
31956   32        361       
31983   7         761       
32000   110       737       
32005   6         886       
