
ID      Weight    Value     
3649    17        259       
3652    12        366       
3666    150       717       
3667    18        161       
3668    82        740       
3679    55        712       
3683    124       928       
3685    112       572       
3690    68        491       
3714    24        213       
3718    140       648       
3723    85        897       
3724    160       808       
3730    59        369       
3733    66        883       
3734    17        908       
3736    92        956       
3738    17        132       
3753    225       982       
3755    158       717       
3763    44        926       
3765    57        656       
3766    15        952       
3771    91        418       
3772    115       963       
3797    31        146       
3815    136       568       
3818    69        908       
3844    18        159       
3847    144       716       
3860    27        831       
3871    87        862       
3872    81        948       
3877    17        190       
3896    125       839       
3913    18        168       
3919    41        394       
3922    109       728       
3931    57        283       
3932    193       806       
3934    81        338       
3936    129       946       
3937    24        590       
3938    25        354       
3942    109       758       
3944    147       743       
3952    35        822       
3964    2         864       
3965    28        207       
3974    209       1000      
3975    41        426       
3977    46        810       
3991    10        68        
3994    22        279       
4002    38        922       
4022    31        696       
4060    81        779       
4065    148       960       
4078    150       720       
4091    21        428       
4100    4         113       
4104    25        286       
4107    25        244       
4108    20        638       
4110    12        260       
4112    33        190       
4113    42        744       
4116    41        962       
4141    30        821       
4145    192       957       
4146    23        963       
4154    89        705       
4156    176       948       
4163    74        923       
4164    52        372       
4170    66        448       
4185    5         473       
4187    65        743       
4189    6         100       
4193    71        523       
4199    55        475       
4212    139       941       
4215    33        157       
4218    47        657       
4224    152       932       
4225    82        616       
4234    3         661       
4240    125       575       
4254    59        751       
4261    47        739       
4263    128       768       
4272    103       885       
4275    37        810       
4300    32        855       
4317    11        622       
4332    32        933       
4348    82        557       
4350    162       886       
4351    53        905       
4356    54        849       
4357    13        941       
4358    55        641       
4374    186       985       
4390    105       961       
4397    139       886       
4398    60        491       
4401    77        708       
4402    44        988       
4404    108       575       
4405    20        213       
4407    9         143       
4410    69        339       
4414    189       785       
4422    206       963       
4430    41        565       
4433    96        791       
4437    115       703       
4440    4         541       
4451    159       717       
4460    11        713       
4462    53        993       
4463    84        651       
4469    24        534       
4475    16        187       
4477    128       603       
4483    34        187       
4491    119       965       
4497    97        532       
4499    70        666       
4511    21        900       
4519    182       903       
4526    65        941       
4532    13        126       
4533    20        452       
4536    140       839       
4554    75        473       
4562    65        501       
4568    58        796       
4575    210       991       
4576    108       494       
4595    17        562       
4597    37        842       
4598    15        820       
